1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
19,1134250,13.7167,-6.05,13.7184,-6.05,13.25,-6.75,137000,131760,133919,0.816,0.978,C,57,,,19,1159131,-31.3661,21.3222,-31.3661,21.3231,-31.75,21.75,13116,13141,10567,0.708,0.806,C,36
20,1134300,13.2167,-5.9,13.2142,-5.8983,12.75,-6.25,101600,99879,100269,0.816,0.987,C,56,,,20,1159300,-28.4578,21.2392,-28.4644,21.2425,-28.25,21.25,364560,354208,363754,0.888,0.998,C,64
21,1134310,12.02,-6.68,12.0048,-5.6585,11.75,-5.75,14300,14355,15167,0.588,0.943,N,,,,21,1159301,-29.6517,22.7458,-29.6558,22.745,-29.75,22.75,339310,330300,336551,0.89,0.992,C,64
22,1134400,13.95,-5.37,13.9575,-5.3667,13.25,-6.25,141000,134221,136935,0.794,0.971,V,46,1134250,57,22,1159302,-29.1619,23.6958,-29.1619,23.6958,-29.75,24.25,99316,99215,93749,0.773,0.944,C,56
23,1134450,13.38,-4.92,13.3808,-4.92,13.25,-5.25,116000,111680,115372,0.831,0.995,C,59,,,23,1159304,-29.1829,23.5751,-29.182,23.5751,-29.25,23.75,296170,290845,296448,0.883,0.999,C,59
24,1134460,14.15,-4.98,14.1475,-4.9825,13.75,-5.75,143300,136982,142954,0.778,0.998,C,49,,,24,1159330,-29.0425,24.5992,-29.0417,24.5992,-29.25,24.75,31233,28516,32412,0.744,0.964,C,51
25,1134480,14.02,-4.25,14.0208,-4.245,13.75,-4.75,129000,130178,133454,0.83,0.967,C,49,,,25,1159403,-27.9032,24.6151,-27.9024,24.6151,-27.75,24.75,23900,24009,27630,0.721,0.865,C,50
26,1134500,14.53,-4.22,14.5417,-4.2083,14.25,-4.25,281600,278331,288427,0.874,0.976,C,60,,,26,1159405,-28.3865,24.2971,-28.3865,24.2979,-28.25,24.25,30810,30670,33101,0.713,0.931,C,46
27,1134505,14.53,-4.22,14.5175,-4.1992,13.75,-4.75,132254,132254,133454,0.818,0.991,V,49,1134480,49,27,1159413,-27.935,26.1244,-27.935,26.1244,-28.25,26.25,16153,16032,16350,0.732,0.988,C,55
28,1134600,15.4,-4.23,15.3942,-4.2358,15.25,-4.25,302515,311494,309394,0.843,0.978,N,,,,28,1159450,-28.7115,24.0729,-28.7115,24.0729,-28.75,24.25,157830,155137,159474,0.849,0.99,C,56
29,1134630,16.13,-3.75,16.1183,-3.7475,15.75,-3.75,342087,342087,336268,0.821,0.983,V,48,1134700,58,29,1159490,-28.5162,24.6007,-28.5171,24.6007,-28.25,24.75,121220,119067,118211,0.836,0.975,C,59
30,1134700,16.2667,-3.3833,16.2667,-3.3833,15.75,-3.75,340000,345826,336268,0.817,0.989,C,58,,,30,1159535,-27.3897,26.4639,-27.3897,26.4647,-27.25,26.25,79903,80185,82692,0.803,0.966,C,57
31,1134730,16.6666,-3.0333,16.6549,-3.03,15.75,-3.75,342000,348700,336268,0.811,0.983,V,50,1134700,58,31,1159545,-27.0101,26.6981,-27.0101,26.6989,-26.75,26.75,63437,63649,66190,0.767,0.958,C,53
32,1134850,16.93,-0.58,16.9367,-0.5867,17.25,-0.75,348000,375409,404441,0.748,0.86,C,38,,,32,1159550,-26.9706,27.2097,-26.9706,27.2105,-26.75,27.75,49120,49237,49590,0.763,0.991,C,58
33,1134900,15.6667,0.5,15.6659,0.4967,15.75,0.25,566000,489271,566726,0.724,0.999,C,54,,,33,1159650,-30.6781,26.7164,-30.6772,26.7156,-30.75,26.75,37070,36937,40212,0.732,0.922,C,53
34,1147010,-4.3,15.3,-4.2867,15.2933,-4.25,15.75,3475000,3605676,3639634,0.957,0.955,C,62,,,34,1159800,-26.8202,28.0633,-26.8202,28.0633,-26.75,28.25,38564,38635,41266,0.757,0.935,C,45
35,1147011,-0.35,25.45,-0.35,25.4525,-0.75,25.25,948500,931904,942525,0.905,0.994,N,,,,35,1160373,-33.9803,21.6533,-33.9803,21.6533,-33.75,21.75,43451,43444,49259,0.732,0.882,C,51
36,1147012,-2.95,25.9167,-2.9542,25.9283,-3.25,25.75,810440,784993,800122,0.893,0.987,N,,,,36,1160460,-33.7308,24.6178,-33.7308,24.6178,-33.25,24.25,29571,29461,28765,0.737,0.973,C,55
37,1147013,-4.1367,15.3333,-4.2909,15.2785,-4.25,15.25,3747320,3605702,3645816,0.958,0.973,N,,,,37,1160777,-31.3955,29.2651,-31.3955,29.2651,-31.25,29.25,19273,19253,21288,0.767,0.905,C,45
38,1150200,-3.1833,17.3833,-3.2158,17.3642,-3.25,17.25,737640,744477,755422,0.931,0.976,N,,,,38,1160880,-29.1403,31.3925,-29.1419,31.3917,-28.75,30.75,28920,28873,29944,0.716,0.966,C,53
39,1150201,-4.3333,20.5833,-4.3383,20.5717,-5.25,21.25,232560,240172,251005,0.858,0.927,N,,,,39,1196100,-24.3311,30.7414,-24.3311,30.7406,-24.25,30.25,42714,42455,42032,0.772,0.984,C,57
40,1159100,-28.7578,17.7214,-28.7594,17.7214,-28.75,17.75,866486,788290,853225,0.848,0.985,C,62,,,40,1196405,-22.9348,28.0039,-22.9339,28.0039,-23.25,27.75,98240,101000,95849,0.831,0.976,C,58
41,1159103,-28.9634,19.1519,-28.9642,19.1519,-28.75,19.25,859920,766719,826127,0.853,0.961,V,58,1159100,62,41,1196455,-24.3962,27.0898,-24.3962,27.089,-24.75,27.25,28780,28253,28000,0.765,0.973,C,49
42,1159105,-28.0758,16.8983,-28.0767,16.8983,-28.25,17.25,985370,884454,953333,0.858,0.967,C,51,,,42,1196551,-22.2261,29.9903,-22.2253,29.9903,-22.25,29.75,201001,202888,204932,0.89,0.981,C,58
43,1159130,-30.4744,20.5192,-30.4744,20.5183,-30.75,20.25,40073,37820,36941,0.757,0.922,C,52,,,43,1196800,-24.1847,30.823,-24.1839,30.823,-24.25,30.75,46583,46583,47670,0.782,0.977,C,57
44,1159131,-31.3661,21.3222,-31.3661,21.3231,-31.75,21.75,13116,13141,10567,0.708,0.806,C,36,,,44,1234080,14.75,0.6,14.7483,0.6,14.75,0.25,44900,49492,44942,0.708,0.999,C,40
45,1159290,-28.7747,20.7224,-28.7697,20.7241,-28.75,21.25,366070,359056,366470,0.888,0.999,V,58,1159300,64,45,1234090,14.6167,0.9833,14.6109,0.9833,14.75,0.75,553326,553326,626607,0.748,0.883,C,46
46,1159300,-28.4578,21.2392,-28.4644,21.2425,-28.25,21.25,364560,354208,363754,0.888,0.998,C,64,,,46,1234150,13.52,2.09,13.5142,2.09,13.75,1.75,700000,624376,701748,0.764,0.998,C,58
47,1159301,-29.6517,22.7458,-29.6558,22.745,-29.75,22.75,339310,330300,336551,0.89,0.992,C,64,,,47,1234201,12.5833,2.6167,12.5791,2.6167,12.75,2.25,672316,672316,749962,0.779,0.896,C,44
48,1159302,-29.1619,23.6958,-29.1619,23.6958,-29.75,24.25,99316,99215,93749,0.773,0.944,C,56,,,48,1255100,-17.4,14.2,-17.4117,14.2033,-17.25,14.25,89600,88824,89701,0.778,0.999,C,59
49,1159303,-29.8147,24.4375,-29.8131,24.4383,-29.75,24.75,92346,91668,91059,0.794,0.986,V,49,1159302,56,49,1257100,-17.9,19.75,-17.9033,19.7425,-17.75,19.25,97300,103745,98507,0.767,0.988,C,59
50,1159304,-29.1829,23.5751,-29.182,23.5751,-29.25,23.75,296170,290845,296448,0.883,0.999,C,59,,,50,1257101,-18.0333,21.4167,-18.0308,21.4233,-17.75,20.75,206000,232734,219473,0.818,0.939,C,57
51,1159330,-29.0425,24.5992,-29.0417,24.5992,-29.25,24.75,31233,28516,32412,0.744,0.964,C,51,,,51,1259100,-27.9167,17.5,-27.9117,17.4917,-27.75,17.75,63300,64875,69813,0.739,0.907,C,50
52,1159335,-29.0286,24.6383,-29.0294,24.6383,-28.75,25.25,17313,14982,16259,0.609,0.939,N,,,,52,1259101,-26.8,17.7833,-26.8025,17.79,-26.25,17.75,46400,45212,47716,0.738,0.972,C,55
53,1159400,-27.5733,24.7458,-27.5733,24.7458,-27.25,25.25,11044,10701,13846,0.559,0.798,N,,,,53,1259102,-25.9,17.9667,-25.9092,17.9717,-25.75,17.75,37600,37820,42158,0.716,0.892,C,48
54,1159403,-27.9032,24.6151,-27.9024,24.6151,-27.75,24.75,23900,24009,27630,0.721,0.865,C,50,,,54,1259150,-30.3633,27.575,-30.365,27.575,-30.25,27.75,19756,19693,21559,0.7,0.916,C,33
55,1159405,-28.3865,24.2971,-28.3865,24.2979,-28.25,24.25,30810,30670,33101,0.713,0.931,C,46,,,55,1291100,-17.4667,24.3,-17.485,24.3,-17.25,24.25,334000,334358,331054,0.887,0.991,C,65
56,1159410,-27.8403,25.9044,-27.8411,25.9044,-28.25,26.25,17754,17914,16350,0.719,0.921,N,,,,56,1291200,-17.6833,23.2667,-17.8257,24.9788,-17.75,24.25,170000,151958,148546,0.776,0.874,C,51
57,1159413,-27.935,26.1244,-27.935,26.1244,-28.25,26.25,16153,16032,16350,0.732,0.988,C,55,,,57,1357100,-18.2833,21.8,-18.2783,21.805,-19.25,22.75,410000,234658,251789,0.745,0.614,C,32
58,1159450,-28.7115,24.0729,-28.7115,24.0729,-28.75,24.25,157830,155137,159474,0.849,0.99,C,56,,,58,1426200,6.06,-4.49,6.1892,-5.0018,6.75,-5.75,59500,59611,58226,0.733,0.979,C,38
59,1159490,-28.5162,24.6007,-28.5171,24.6007,-28.25,24.75,121220,119067,118211,0.836,0.975,C,59,,,59,1426380,5.88,-4.75,5.8967,-4.8133,5.75,-4.75,95500,96087,104309,0.819,0.916,C,45
60,1159500,-28.4989,24.6031,-28.4989,24.6039,-28.25,24.75,120982,119057,118211,0.841,0.977,V,55,1159490,59,60,1427350,7.69,-7.06,7.6917,-7.0708,7.75,-7.25,28800,29831,27584,0.71,0.958,C,36
61,1159535,-27.3897,26.4639,-27.3897,26.4647,-27.25,26.25,79903,80185,82692,0.803,0.966,C,57,,,61,1427500,5.76,-6.6,5.7575,-6.6075,6.25,-6.75,62000,62734,58342,0.78,0.941,C,43
62,1159545,-27.0101,26.6981,-27.0101,26.6989,-26.75,26.75,63437,63649,66190,0.767,0.958,C,53,,,62,1428200,9.59,-4.29,9.5858,-4.3,9.75,-4.25,21300,21515,24391,0.719,0.873,C,32
63,1159550,-26.9706,27.2097,-26.9706,27.2105,-26.75,27.75,49120,49237,49590,0.763,0.991,C,58,,,63,1428400,6.62,-3.72,6.6283,-3.7208,6.75,-3.75,67400,69383,64248,0.75,0.953,C,39
64,1159555,-26.7383,27.592,-26.7374,27.592,-26.75,27.75,47222,47314,49590,0.765,0.952,V,50,1159550,58,64,1431300,9.19,-2.71,9.19,-2.7175,9.75,-2.75,111500,119074,109118,0.796,0.979,C,41
65,1159650,-30.6781,26.7164,-30.6772,26.7156,-30.75,26.75,37070,36937,40212,0.732,0.922,C,53,,,65,1491590,-17.5,29.4,-17.4958,29.3958,-17.25,29.25,37300,36897,38208,0.714,0.976,C,38
66,1159651,-30.3364,27.3583,-30.3356,27.3583,-30.25,27.25,24745,24661,26926,0.692,0.919,N,,,,66,1496500,-22.2167,29.9833,-22.2233,29.9833,-22.25,29.75,208784,202879,204932,0.89,0.982,C,49
67,1159655,-30.0619,28.5098,-30.0619,28.5098,-29.75,28.75,10735,10726,10813,0.629,0.993,N,,,,67,1531050,10.6333,-2.9167,10.6458,-2.935,10.75,-2.75,93820,101132,96913,0.79,0.968,C,54
68,1159675,-29.6167,27.0656,-29.6158,27.0656,-29.75,27.25,12852,12870,13529,0.655,0.95,N,,,,68,1531100,8.15,-2.0333,8.1517,-2.035,8.25,-2.25,134200,138412,133631,0.798,0.996,C,55
69,1159800,-26.8202,28.0633,-26.8202,28.0633,-26.75,28.25,38564,38635,41266,0.757,0.935,C,45,,,69,1531450,9.7,-1.08,9.695,-1.0925,9.75,-0.75,92950,96533,97083,0.82,0.957,C,55
70,1159805,-27.2717,28.4911,-27.2717,28.4911,-27.25,28.75,15673,15645,19168,0.679,0.818,N,,,,70,1531550,10.5833,-0.85,10.5833,-0.8417,10.75,-0.75,63350,57589,60542,0.772,0.956,C,52
71,1159810,-27.2983,28.4956,-27.2992,28.4956,-27.25,28.75,15522,15454,19168,0.685,0.81,N,,,,71,1531600,10.98,-0.4,10.9833,-0.39,11.25,-0.25,41550,41737,39281,0.73,0.945,C,47
72,1159813,-27.3014,28.5856,-27.3014,28.5856,-27.75,28.75,10489,10529,10943,0.643,0.959,N,,,,72,1531800,9.28,0.23,9.2917,0.2458,9.25,0.25,58670,59952,57830,0.775,0.986,C,52
73,1159880,-27.0023,28.7653,-27.0023,28.7661,-26.75,28.75,15500,15563,16576,0.521,0.935,N,,,,73,1537100,12.12,15.03,12.1142,15.0275,11.75,15.25,600000,603051,598092,0.883,0.997,C,55
74,1160235,-31.8625,18.6864,-31.8625,18.6856,-31.75,18.75,24044,23961,26174,0.608,0.919,N,,,,74,1537150,10.27,15.42,10.245,15.4,9.75,15.75,73700,66324,73617,0.728,0.999,C,41
75,1160302,-34.0703,20.39,-34.0703,20.39,-34.25,20.25,9854,9847,12866,0.475,0.766,N,,,,75,1537200,9.4,16.3,9.3958,16.2908,8.75,16.75,56700,57058,58332,0.754,0.972,C,41
76,1160305,-34.0675,20.4056,-34.0683,20.4047,-34.25,20.25,9842,9855,12866,0.475,0.765,N,,,,76,1537300,10.48,16.72,10.48,16.72,9.75,17.75,450000,475219,466594,0.888,0.964,C,51
77,1160353,-33.7492,21.4444,-33.7492,21.4444,-33.75,21.25,12493,12470,15517,0.566,0.805,N,,,,77,1537500,9.15,18.42,9.1433,18.4075,8.75,18.75,193000,201976,201740,0.853,0.957,C,47
78,1160373,-33.9803,21.6533,-33.9803,21.6533,-33.75,21.75,43451,43444,49259,0.732,0.882,C,51,,,78,1547310,-11.9666,28.75,-11.9774,28.75,-11.75,28.75,123072,122106,130669,0.828,0.942,C,53
79,1160376,-33.5022,21.6228,-33.4966,21.6258,-32.75,21.75,7805,17386,10452,0.484,0.747,N,,,,79,1591001,-16.1167,23.25,-16.125,23.2833,-15.75,23.25,284538,288353,283456,0.888,0.996,C,59
80,1160378,-33.31,21.6342,-33.31,21.635,-33.25,21.75,17076,17063,20832,0.688,0.82,N,,,,80,1591002,-14.3833,23.2333,-14.3833,23.2341,-14.25,23.25,206531,213176,205544,0.854,0.995,C,57
81,1160391,-33.66,21.7731,-33.66,21.7731,-33.75,22.25,10927,10989,10335,0.488,0.946,N,,,,81,1591231,-13.6,24.2166,-13.6017,24.2149,-13.25,24.25,42740,42098,39331,0.764,0.92,C,42
82,1160460,-33.7308,24.6178,-33.7308,24.6178,-33.25,24.25,29571,29461,28765,0.737,0.973,C,55,,,82,1591401,-15.8166,28.2166,-15.8283,28.2099,-15.75,27.75,153351,152014,153027,0.844,0.998,C,55
83,1160493,-33.0993,25.0115,-33.0993,25.0115,-32.75,24.75,13422,13416,13087,0.634,0.975,N,,,,83,1591402,-15.75,27.03,-15.6317,27.1158,-15.75,26.75,136234,123435,123216,0.822,0.904,C,47
84,1160510,-33.0981,26.4447,-33.0981,26.4447,-32.75,25.75,23067,23027,21048,0.621,0.912,N,,,,84,1591403,-15.7667,26.0166,-15.7608,26.0216,-15.25,25.75,105672,106504,102364,0.802,0.969,C,45
85,1160511,-31.9031,25.4817,-31.9031,25.4817,-31.75,25.25,9545,9095,7932,0.489,0.831,N,,,,85,1591404,-14.9333,25.9166,-14.9333,25.9141,-14.75,26.25,96239,95633,96386,0.847,0.998,C,52
86,1160528,-32.0858,25.5758,-32.0867,25.5758,-31.75,25.25,10830,10848,7932,0.436,0.732,N,,,,86,1591405,-14.4166,27,-14.4183,27,-14.25,27.25,50479,51026,48212,0.78,0.955,C,51
87,1160533,-33.0276,25.8933,-33.0276,25.8925,-32.75,25.75,19130,19098,21048,0.617,0.909,N,,,,87,1591408,-14.5667,26.45,-14.5667,26.45,-14.25,26.75,55669,55108,51215,0.774,0.92,C,41
88,1160580,-33.2378,26.9947,-33.2378,26.9947,-33.25,26.75,29745,29706,31442,0.633,0.946,N,,,,88,1591435,-13.7,26.3333,-13.7033,26.3433,-13.25,26.75,19779,19702,18131,0.8,0.917,C,41
89,1160777,-31.3955,29.2651,-31.3955,29.2651,-31.25,29.25,19273,19253,21288,0.767,0.905,C,45,,,89,1591730,-14.9667,30.2167,-14.9667,30.2142,-14.75,30.25,142760,141862,150940,0.825,0.946,C,49
90,1160880,-29.1403,31.3925,-29.1419,31.3917,-28.75,30.75,28920,28873,29944,0.716,0.966,C,53,,,90,1731400,10.2,0.97,11.0542,0.9702,11.25,1.25,22280,22994,21266,0.701,0.954,C,41
91,1160883,-28.75,30.4422,-28.75,30.4431,-28.75,30.25,12862,12857,13582,0.64,0.947,N,,,,91,1733300,8,2.42,8.0108,2.38,8.25,2.25,23600,23504,21414,0.717,0.907,C,39
92,1160919,-28.4456,32.3251,-28.4456,32.3243,-28.25,31.75,9099,9399,10943,0.528,0.831,N,,,,92,1733600,6.9,2.45,6.9,2.4492,7.25,2.25,46990,48061,49004,0.77,0.959,C,52
93,1196100,-24.3311,30.7414,-24.3311,30.7406,-24.25,30.25,42714,42455,42032,0.772,0.984,C,57,,,93,1748500,3.1833,16.1167,3.1833,16.115,3.25,16.25,68400,71489,67935,0.737,0.993,C,45
94,1196101,-24.2681,29.8011,-24.2672,29.8011,-24.25,29.75,31627,31409,33591,0.72,0.942,N,,,,94,1749050,3.6667,18.3,3.6683,18.3,3.75,17.75,31300,30915,33966,0.706,0.922,C,42
95,1196102,-24.9264,29.3894,-24.9264,29.3894,-25.25,29.25,16622,16526,19511,0.676,0.852,N,,,,95,1749100,4.3667,18.5833,4.3575,18.5892,4.75,18.75,499000,490416,502751,0.898,0.993,C,63
96,1196105,-24.9586,29.3953,-24.9586,29.3961,-25.25,29.25,16447,16435,19511,0.678,0.843,N,,,,96,1749500,4.7167,22.8167,4.7225,22.8233,4.75,23.25,115000,120354,120158,0.828,0.957,C,41
97,1196220,-23.8353,31.6374,-23.8362,31.6358,-23.75,31.25,12938,13383,11355,0.543,0.878,N,,,,97,1813200,13.47,-13.73,13.4742,-13.7283,13.25,-13.75,42000,41810,42262,0.718,0.994,C,41
98,1196400,-22.9508,27.9736,-22.9508,27.9736,-23.25,27.75,98160,100981,95849,0.831,0.976,V,51,1196405,58,98,1815070,11.93,-14.21,11.9308,-14.21,12.25,-13.75,21880,20810,21228,0.712,0.97,C,33
99,1196405,-22.9348,28.0039,-22.9339,28.0039,-23.25,27.75,98240,101000,95849,0.831,0.976,C,58,,,99,1834101,7.8,6.7667,7.8042,6.7542,8.25,6.75,1651455,1651455,1425234,0.705,0.863,C,44
100,1196440,-25.2063,27.5579,-25.2063,27.5579,-25.25,27.75,12674,12575,19570,0.468,0.648,N,,,,100,1835800,9.25,12.5,9.25,12.5017,9.25,12.75,107000,104591,104059,0.803,0.973,C,39
101,1196450,-24.6951,27.409,-24.6942,27.409,-25.25,27.75,22270,21995,19570,0.693,0.879,N,,,,101,1835900,8.2,9.7333,8.19,9.7383,8.25,9.75,254155,254155,260000,0.85,0.978,C,53
102,1196455,-24.3962,27.0898,-24.3962,27.089,-24.75,27.25,28780,28253,28000,0.765,0.973,C,49,,,102,1837106,12.9899,11.9705,12.9966,11.9472,12.75,10.75,67340,90234,93902,0.782,0.717,C,38
103,1196550,-22.2244,29.9869,-22.2244,29.9869,-22.25,29.75,201000,202883,204932,0.89,0.981,V,51,1196551,58,103,1891500,-16.15,33.5917,-16.15,33.5908,-15.75,32.75,940000,1099935,1073216,0.898,0.876,C,43
104,1196551,-22.2261,29.9903,-22.2253,29.9903,-22.25,29.75,201001,202888,204932,0.89,0.981,C,58,,,104,1896501,-24.7444,33.5431,-24.7444,33.5431,-24.75,33.25,416522,402409,418117,0.897,0.996,C,46
105,1196569,-22.5502,28.8974,-22.5502,28.8974,-22.75,28.75,15845,15796,16992,0.545,0.932,N,,,,105,1896502,-23.4606,32.4333,-23.4597,32.435,-22.75,31.75,266350,258561,262248,0.888,0.985,C,49
106,1196800,-24.1847,30.823,-24.1839,30.823,-24.25,30.75,46583,46583,47670,0.782,0.977,C,57,,,106,1931370,11.78,-2.92,11.7817,-2.915,12.25,-2.75,37140,69606,60444,0.718,0.614,C,18
107,1196850,-24.0663,31.2429,-24.0663,31.2429,-24.25,30.75,49826,49891,47670,0.78,0.957,V,52,1196800,57,107,1931460,11.02,-2.82,11.0225,-2.8242,11.25,-2.75,50820,83397,75611,0.761,0.672,C,18
108,1197090,-25.4366,31.9824,-25.4366,31.9824,-25.25,32.25,21652,21634,33581,0.5,0.645,N,,,,108,1931475,9.68,-2.77,9.6842,-2.77,10.25,-2.75,79700,113817,103011,0.784,0.774,C,23
109,1197500,-25.3636,31.9556,-25.3636,31.9556,-25.25,31.75,10379,10348,11209,0.408,0.926,N,,,,109,2106500,45.77,126.58,45.765,126.585,45.75,126.25,391000,391620,391310,0.884,0.999,C,48
110,1201500,36.58,9.52,36.5875,9.5158,36.75,9.75,20895,20732,24848,0.63,0.841,N,,,,110,2106600,43.88,126.53,43.895,126.54,43.75,126.75,44100,44468,43245,0.742,0.981,C,40
111,1219500,7.8167,-11.1667,7.8175,-11.1667,8.25,-10.75,17150,17515,15319,0.626,0.893,N,,,,111,2178300,40.23,115.6,40.23,115.6025,40.25,115.75,42500,43744,42669,0.736,0.996,C,51
112,1234080,14.75,0.6,14.7483,0.6,14.75,0.25,44900,49492,44942,0.708,0.999,C,40,,,112,2178500,39.73,118.75,39.73,118.7583,39.75,118.75,44100,44903,46585,0.744,0.947,C,50
113,1234090,14.6167,0.9833,14.6109,0.9833,14.75,0.75,553326,553326,626607,0.748,0.883,C,46,,,113,2178950,32.93,117.38,32.9575,117.3625,32.75,117.25,121330,123085,119606,0.82,0.986,C,56
114,1234130,13.7333,1.6167,13.7383,1.6159,13.25,1.25,38750,39037,39205,0.663,0.988,N,,,,114,2179100,42.2,123.5,42.1908,123.5,42.75,123.75,120764,164687,155310,0.802,0.778,C,44
115,1234150,13.52,2.09,13.5142,2.09,13.75,1.75,700000,624376,701748,0.764,0.998,C,58,,,115,2180500,34.63,108.6,34.63,108.6,34.75,108.25,43200,43159,42649,0.758,0.987,C,41
116,1234180,12.96,2.32,12.9517,2.2767,13.25,1.75,15350,15420,15115,0.533,0.985,N,,,,116,2180700,34.82,111.37,34.8192,111.37,34.75,111.25,688421,695903,682128,0.838,0.991,C,42
117,1234201,12.5833,2.6167,12.5791,2.6167,12.75,2.25,672316,672316,749962,0.779,0.896,C,44,,,117,2180711,39.1333,106.6667,37.4933,105.5352,36.75,104.75,121972,255206,245338,0.755,0.497,C,18
118,1234250,11.88,3.4,11.88,3.4,11.75,3.25,1000000,1191580,980165,0.605,0.98,N,,,,118,2180800,34.92,113.65,34.9208,113.65,34.75,113.25,730036,737186,722764,0.842,0.99,C,57
119,1237500,13.28,12.6,13.2808,12.6008,12.75,11.75,115000,149382,115123,0.641,0.999,N,,,,119,2181500,33.4333,96.6,33.5008,96.68,33.75,96.75,137704,132366,133240,0.831,0.968,C,46
