1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
GRDC station select for 30min,,,,,,,,,,,,,,,,,For Calibration,,,,,,,,,,,,,,
No,GRDC_No,latGRDC,lonGRDC,latcorrected,loncorrected,lat30min,lon30min,areaGRDC,area,area30min,similarity,area_accordance,calibrate_orNot,scoring,grdc_scored_better,better_score,No,GRDC_No,latGRDC,lonGRDC,latcorrected,loncorrected,lat30min,lon30min,areaGRDC,area,area30min,similarity,area_accordance,calibrate_orNot,scoring
1,1112100,14.45,-11.28,14.4032,-11.371,14.25,-11.25,157400,146281,126722,0.712,0.805,V,33,1112300,44,1,1112300,13.83,-11.13,13.8583,-11.06,13.75,-11.25,127000,143081,123719,0.707,0.974,C,44
2,1112200,13.23,-11.38,13.1925,-11.4992,13.25,-11.25,15000,14598,15127,0.543,0.992,N,,,,2,1134030,11.6833,-8.6667,11.6875,-8.665,11.25,-9.25,71750,70764,70104,0.81,0.977,C,49
3,1112300,13.83,-11.13,13.8583,-11.06,13.75,-11.25,127000,143081,123719,0.707,0.974,C,44,,,3,1134040,11.97,-8.23,11.9692,-8.2317,11.75,-8.25,35300,33102,36602,0.72,0.964,C,41
4,1112320,13.36,-9.23,13.6017,-10.0649,13.75,-10.25,84400,89066,78303,0.589,0.928,N,,,,4,1134050,11.58,-8.17,11.58,-8.1783,11.25,-8.25,34200,31902,33568,0.719,0.982,C,51
5,1112330,13.34,-9.53,13.5715,-9.8863,13.75,-9.75,58000,72161,57158,0.576,0.985,N,,,,5,1134100,12.8667,-7.55,12.865,-7.5483,12.25,-8.25,120000,117927,115806,0.82,0.965,C,58
6,1112340,13.45,-9.88,13.455,-9.885,13.25,-9.75,16000,16518,15132,0.524,0.946,N,,,,6,1134250,13.7167,-6.05,13.7184,-6.05,13.25,-6.75,137000,131760,133919,0.816,0.978,C,57
7,1112350,13.14,-10.48,13.1958,-10.4542,13.25,-10.25,33000,28179,30331,0.581,0.919,N,,,,7,1134300,13.2167,-5.9,13.2142,-5.8983,12.75,-6.25,101600,99879,100269,0.816,0.987,C,56
8,1112400,12.31,-11.23,12.5392,-11.3893,12.25,-11.25,9300,8220,9089,0.437,0.977,N,,,,8,1134450,13.38,-4.92,13.3808,-4.92,13.25,-5.25,116000,111680,115372,0.831,0.995,C,59
9,1112480,12.15,-10.2,11.9044,-10.6396,11.75,-10.75,15500,15667,18238,0.615,0.85,N,,,,9,1134460,14.15,-4.98,14.1475,-4.9825,13.75,-5.75,143300,136982,142954,0.778,0.998,C,49
10,1112500,12.33,-10.16,12.445,-10.3067,12.25,-10.25,21700,21921,21266,0.572,0.98,N,,,,10,1134480,14.02,-4.25,14.0208,-4.245,13.75,-4.75,129000,130178,133454,0.83,0.967,C,49
11,1134020,11.15,-8.55,11.1508,-8.5542,10.75,-8.75,23300,23586,24437,0.63,0.953,N,,,,11,1134500,14.53,-4.22,14.5417,-4.2083,14.25,-4.25,281600,278331,288427,0.874,0.976,C,60
12,1134030,11.6833,-8.6667,11.6875,-8.665,11.25,-9.25,71750,70764,70104,0.81,0.977,C,49,,,12,1134700,16.2667,-3.3833,16.2667,-3.3833,15.75,-3.75,340000,345826,336268,0.817,0.989,C,58
13,1134040,11.97,-8.23,11.9692,-8.2317,11.75,-8.25,35300,33102,36602,0.72,0.964,C,41,,,13,1134850,16.93,-0.58,16.9367,-0.5867,17.25,-0.75,348000,375409,404441,0.748,0.86,C,38
14,1134050,11.58,-8.17,11.58,-8.1783,11.25,-8.25,34200,31902,33568,0.719,0.982,C,51,,,14,1134900,15.6667,0.5,15.6659,0.4967,15.75,0.25,566000,489271,566726,0.724,0.999,C,54
15,1134100,12.8667,-7.55,12.865,-7.5483,12.25,-8.25,120000,117927,115806,0.82,0.965,C,58,,,15,1147010,-4.3,15.3,-4.2867,15.2933,-4.25,15.75,3475000,3605676,3639634,0.957,0.955,C,62
16,1134110,11.4,-7.45,11.3975,-7.45,11.25,-7.75,15700,14911,18288,0.637,0.858,N,,,,16,1159100,-28.7578,17.7214,-28.7594,17.7214,-28.75,17.75,866486,788290,853225,0.848,0.985,C,62
17,1134200,12.52,-6.8,12.5208,-6.8,12.25,-7.25,32500,31551,33449,0.668,0.972,N,,,,17,1159105,-28.0758,16.8983,-28.0767,16.8983,-28.25,17.25,985370,884454,953333,0.858,0.967,C,51
18,1134220,11.42,-6.57,11.4183,-6.5708,11.25,-6.75,31800,31042,30459,0.693,0.958,N,,,,18,1159130,-30.4744,20.5192,-30.4744,20.5183,-30.75,20.25,40073,37820,36941,0.757,0.922,C,52
