1,2,3,4,5,6
 10701 station GRDC,,,,,
No,grdc_no,newlat,newlon,Area,Categorie
1,6854954,64.659061,28.620497,0,1
2,6729239,59.86,6.27,0,1
3,4208620,55.849998,-119.13333,0,1
4,6128150,43.15,6.2,0,1
5,6854281,62.167577,25.403839,0,1
6,6246140,47.0153,13.3692,0,1
7,1160360,-33.354167,19.719167,0,1
8,4215330,49.5014,-117.2597,0,1
9,6935102,47.1074,8.766,0,1
10,6729380,58.96851,8.50818,0,1
11,6935101,47.0976,8.8178,0,1
12,6233365,57.4591,14.9621,0,1
13,6970320,64.32,40.65,0,1
14,6609550,52.47064671,-3.689987348,0,1
15,2998521,61.88,153,0,1
16,6229120,58.6259,11.3573,0,1
17,6342220,47.35,10.31,0,1
18,2998562,61.9,147.42,0,1
19,4208126,56.16,-117.6,0,1
20,6731541,63.33,10.64,0,1
21,6854430,63.910436,23.401474,0,1
22,6948520,46.2016,9.1689,0,1
23,6342947,47.59,11.54,0,1
24,5974100,6.92,158.37,0,1
25,6731758,68.67283,14.62927,0,1
26,6172038,58.51666667,22.7,0,1
27,6729360,60,10.8,0,1
28,5803200,-43.0728,147.892,0,1
29,6172034,58.888889,25.676667,0,1
30,4208689,53.4,-117.5,0,1
31,6731820,61.1352,4.93712,0,1
32,1598110,-26.128056,31.873333,0,1
33,1992690,-14.809722,34.622778,0,1
34,6119160,48.101885,-3.987473,0,1
35,6122400,48.52,3.11,0,1
36,6607245,50.6537091,-2.473208249,0,1
37,6939100,46.4513,6.952,0,1
38,6729438,59.89,10.08,0,1
39,5101480,-28.1247,153.189,0,1
40,6729347,59.85,8.32,0,1
41,6731670,65.9785,12.56823,0,1
42,5732100,1.33,103.78,0,1
43,6729232,59.24,8.04,0,1
44,6729425,59.94379,10.56635,0,1
45,6854111,61.049899,25.031983,0,1
46,6233415,59.7962,17.5825,0,1
47,6854718,66.330668,26.882349,0,1
48,1494200,-18.666667,32.85,0,1
49,2911902,56.85,60.15,0,1
50,2998225,61.57,155.32,0,1
51,6854902,62.938575,22.485985,0,1
52,2998333,62.53,149.67,0,1
53,6242570,48.29444444,16.1975,0,1
54,6343510,47.71,12.17,0,1
55,6233330,59.1691,12.1177,0,1
56,6854112,61.271311,22.245904,0,1
57,6854282,62.510571,26.032167,0,1
58,6855403,61.365517,28.69375,0,1
59,4208788,55.43,-116.28,0,1
60,1159855,-26.233611,27.651944,0,1
61,1160276,-33.390556,19.171389,0,1
62,1197564,-25.295556,30.566944,0,1
63,2271001,22.48,114.18,0,1
64,3103410,2.32,-76.25,0,1
65,6855404,61.380841,28.651957,0,1
66,6233240,56.1203,14.6205,0,1
67,6729325,60.37271,9.72746,0,1
68,5302351,-38.63824,143.44375,0,1
69,4208665,54.92,-117.81,0,1
70,6731815,60.9705,5.2898,0,1
71,6970321,64.32,40.75,0,1
72,1160287,-33.8225,19.046389,0,1
73,1160410,-33.935278,22.130556,0,1
74,1196420,-25.72,27.185556,0,1
75,1199300,-27.394722,31.6425,0,1
76,6233175,59.2027,18.3261,0,1
77,6854505,60.420846,24.437332,0,1
78,4244792,47.634998,-52.837223,0,1
79,4244350,47.272499,-71.160835,0,1
80,6731540,63.32032,10.64944,0,1
81,6729810,60.34901,5.51994,0,1
82,6729835,59.32949,5.44324,0,1
83,6935450,47.3761,9.0123,0,1
84,4208690,53.380554,-117.5375,0,1
85,1160280,-33.8275,19.034722,0,1
86,1160285,-33.821944,19.058889,0,1
87,6233225,62.6973,12.3905,0,1
88,4208691,53.39,-117.48,0,1
89,5606110,-33.2939,116.445,0,1
90,6854719,67.246087,26.555969,0,1
91,6855406,62.695605,28.924525,0,1
92,5973200,-14.28,-170.75,0,1
93,6729385,59.16,8.56,0,1
94,4118317,35.245,-115.2989,0,1
95,1160110,-34.166111,19.1325,0,1
96,1160281,-33.826389,19.027778,0,1
97,1160286,-33.815278,19.061111,0,1
98,1196566,-24.602039,28.607493,0,1
99,1992680,-14.792222,34.580556,0,1
100,6233235,55.9454,14.136,0,1
101,6233417,59.9038,15.2314,0,1
102,6731542,63.31,10.63,0,1
103,6854113,61.665649,24.348707,0,1
104,6729216,58.55,6.07,0,1
105,6233215,55.9441,13.8983,0,1
106,6935315,46.6864,7.2815,0,1
107,6604365,55.09347705,-2.48150178,0,1
108,6729381,59.03,8.51,0,1
109,6854114,61.664494,24.343782,0,1
110,6935318,46.6902,7.2862,0,1
111,6729187,59.06,8.3,0,1
112,1160111,-34.153611,19.135556,0,1
113,1160706,-29.8425,30.268889,0,1
114,6233420,59.1018,17.3744,0,1
115,5974300,9.52,138.08,0,1
116,6854504,60.420415,24.401207,0,1
117,6935345,47.0163,7.8903,0,1
118,6935340,47.0158,7.8427,0,1
119,6729370,58.38541,8.24237,0,1
120,1160707,-29.846111,30.263889,0,1
121,6854502,60.421635,24.378697,0,1
122,6854501,60.42433,24.372831,0,1
123,6242915,47.95222222,17.09611111,0,1
124,6854503,60.420434,24.39158,0,1
125,1134320,12.02,-6.68,-999,2
126,1134420,14.17,-5.02,-999,2
127,1159547,-26.8805,26.96428,-999,2
128,1160458,-34.03197222,24.19552778,-999,2
129,1160693,-32.17377778,27.37230556,-999,2
130,1160743,-31.79966667,28.33302778,-999,2
131,1196423,-25.73486,27.21425,-999,2
132,1259370,-24.31666667,18.43333333,-999,2
133,1309560,32.44,-5.63,-999,2
134,1324510,6,-8.6,-999,2
135,1357200,-20.016667,23.383333,-999,2
136,1357500,-21,24.366667,-999,2
137,1357501,-20.116667,23.516667,-999,2
138,1357510,-20.133333,23.35,-999,2
139,1357520,-20.35,23.433333,-999,2
140,1357530,-19.916667,23.4,-999,2
141,1362200,27.18,31.1,-999,2
142,1362300,26.05,32.25,-999,2
143,1362400,25.32,32.56,-999,2
144,1362500,24.32,32.9,-999,2
145,1362600,23.96,32.9,-999,2
146,1473050,2.65,31.65,-999,2
147,1547320,-10.247441,29.910836,-999,2
148,1563100,11,35,-999,2
149,1563750,10,37,-999,2
150,1566206,8.367386,33.768355,-999,2
151,1566207,8.3333,33.9333,-999,2
152,1566208,8.040186,33.762168,-999,2
153,1566250,8.3667,33.7833,-999,2
154,1566255,8.35,33.8167,-999,2
155,1566260,8.387658,33.689268,-999,2
156,1566261,8.126885,33.542763,-999,2
157,1566270,8.1167,33.6167,-999,2
158,1566500,8.4333,33.2167,-999,2
159,1566501,8.35,33.2167,-999,2
160,1566502,8.35,33.2167,-999,2
161,1566510,8.4,33.2,-999,2
162,1566520,8.35,33.2167,-999,2
163,1578500,5,43,-999,2
164,1591430,-15.166667,28.166667,-999,2
165,1591482,-12.266667,26.8,-999,2
166,1591710,-13.15,32.8166,-999,2
167,1599001,-26.69,31.68,-999,2
168,1662100,19.18,30.48,-999,2
169,1662200,17.65,33.65,-999,2
170,1662500,15.95,32.63,-999,2
171,1664500,14.97,35.92,-999,2
172,1666101,8.666667,32.666667,-999,2
173,1666102,8.633333,33.066667,-999,2
174,1666110,9.3,31.68,-999,2
175,1666120,8.666667,32.65,-999,2
176,1666130,8.55,32.95,-999,2
177,1666140,8.633333,33.066667,-999,2
178,1666200,8.4333,33.25,-999,2
179,1666201,8.45,33.3,-999,2
180,1666202,8.45,33.4,-999,2
181,1666203,8.45,33.4,-999,2
182,1666204,8.4833,33.65,-999,2
183,1666210,8.4667,33.3167,-999,2
184,1666230,8.4833,33.65,-999,2
185,1666504,8.15,33.1833,-999,2
186,1666505,7.8167,33.05,-999,2
187,1666506,7.7833,33.0333,-999,2
188,1666507,6.8,33.1333,-999,2
189,1666530,8.15,33.1833,-999,2
190,1666540,7.8167,32.9833,-999,2
191,1666550,7.7833,33.0667,-999,2
192,1666560,7.6333,33.05,-999,2
193,1673150,15.23,32.5,-999,2
194,1673500,10.43,32.2,-999,2
195,1673650,9.46,31.12,-999,2
196,1673660,9.38,31.17,-999,2
197,1734200,10.86187,2.049091,-999,2
198,1834100,9.18,4.82,-999,2
199,1835500,10.29912,11.513371,-999,2
200,1837102,13.51675,13.133517,-999,2
201,1837400,12.763333,10.680278,-999,2
202,1837409,12.0797,8.959367,-999,2
203,1837420,12.26075,9.918306,-999,2
204,1837560,12.636467,10.303883,-999,2
205,1837561,12.804167,10.386111,-999,2
