1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
GRDC station select for 5min,,,,,,,,,,,,,,,,,For Calibration 5arcmin,,,,,,,,,,,,,,
No,GRDC_No,latGRDC,lonGRDC,latcorrected,loncorrected,lat5min,lon5min,areaGRDC,area,area5min,similarity,area_accordance,calibrate_orNot,scoring,grdc_scored_better,better_score,No,GRDC_No,latGRDC,lonGRDC,latcorrected,loncorrected,lat5min,lon5min,areaGRDC,area,area5min,similarity,area_accordance,calibrate_orNot,scoring
1,1104200,35.5,0.68,35.4975,0.68,35.54,0.62,6635,5456,5896,0.804,0.889,N,,,,1,1104600,36.42,4.6,36.4158,4.5992,36.46,4.62,4309,4043,3951,0.871,0.917,C,40
2,1104300,35.87,1.12,35.881,1.1041,35.87,1.12,2398,2177,2164,0.805,0.902,N,,,,2,1107700,35.15,-1.45,35.145,-1.4483,35.12,-1.46,7245,7419,7475,0.888,0.969,C,46
3,1104450,36.67,2.82,36.6675,2.82,36.62,2.79,1912,1887,2004,0.791,0.954,N,,,,3,1112200,13.23,-11.38,13.1925,-11.4992,13.12,-11.46,15000,14598,14785,0.922,0.986,C,47
4,1104500,36.62,3.58,36.6208,3.5808,36.62,3.54,4149,3606,3808,0.838,0.918,N,,,,4,1112300,13.83,-11.13,13.8583,-11.06,13.79,-10.87,127000,143081,142303,0.949,0.892,C,47
5,1104530,36.8,3.87,36.8017,3.8708,36.79,3.87,2501,2366,2550,0.814,0.981,N,,,,5,1112320,13.36,-9.23,13.6017,-10.0649,13.54,-9.87,84400,89066,89477,0.949,0.943,C,47
6,1104600,36.42,4.6,36.4158,4.5992,36.46,4.62,4309,4043,3951,0.871,0.917,C,40,,,6,1112330,13.34,-9.53,13.5715,-9.8863,13.71,-9.71,58000,72161,71604,0.94,0.81,C,34
7,1104700,36.23,6.3,36.2408,6.3,36.21,6.29,1220,1220,1387,0.737,0.88,N,,,,7,1112340,13.45,-9.88,13.455,-9.885,13.37,-9.87,16000,16518,16543,0.901,0.967,C,45
8,1107700,35.15,-1.45,35.145,-1.4483,35.12,-1.46,7245,7419,7475,0.888,0.969,C,46,,,8,1112350,13.14,-10.48,13.1958,-10.4542,13.29,-10.62,33000,28179,28302,0.899,0.858,C,39
9,1107800,35.07,-1.22,35.075,-1.22,35.12,-1.12,1118,1245,1196,0.755,0.935,N,,,,9,1112400,12.31,-11.23,12.5392,-11.3893,12.54,-11.37,9300,8220,8444,0.9,0.908,C,41
10,1112100,14.45,-11.28,14.4032,-11.371,14.37,-11.37,157400,146281,146538,0.955,0.931,V,46,1112300,47,10,1112480,12.15,-10.2,11.9044,-10.6396,11.87,-10.62,15500,15667,15524,0.906,0.998,C,46
11,1112200,13.23,-11.38,13.1925,-11.4992,13.12,-11.46,15000,14598,14785,0.922,0.986,C,47,,,11,1112500,12.33,-10.16,12.445,-10.3067,12.46,-10.29,21700,21921,21879,0.898,0.992,C,40
12,1112300,13.83,-11.13,13.8583,-11.06,13.79,-10.87,127000,143081,142303,0.949,0.892,C,47,,,12,1134030,11.6833,-8.6667,11.6875,-8.665,11.62,-8.71,71750,70764,70147,0.949,0.978,C,51
13,1112320,13.36,-9.23,13.6017,-10.0649,13.54,-9.87,84400,89066,89477,0.949,0.943,C,47,,,13,1134050,11.58,-8.17,11.58,-8.1783,11.62,-8.21,34200,31902,31994,0.926,0.935,C,54
14,1112330,13.34,-9.53,13.5715,-9.8863,13.71,-9.71,58000,72161,71604,0.94,0.81,C,34,,,14,1134080,10.8,-7.67,10.7975,-7.6692,10.71,-7.71,7900,8421,8504,0.881,0.929,C,40
