1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
15,1112340,13.45,-9.88,13.455,-9.885,13.37,-9.87,16000,16518,16543,0.901,0.967,C,45,,,15,1134100,12.8667,-7.55,12.865,-7.5483,12.87,-7.54,120000,117927,117453,0.959,0.979,C,59
16,1112350,13.14,-10.48,13.1958,-10.4542,13.29,-10.62,33000,28179,28302,0.899,0.858,C,39,,,16,1134110,11.4,-7.45,11.3975,-7.45,11.37,-7.46,15700,14911,15141,0.912,0.964,C,57
17,1112400,12.31,-11.23,12.5392,-11.3893,12.54,-11.37,9300,8220,8444,0.9,0.908,C,41,,,17,1134150,11.07,-6.85,11.075,-6.845,11.04,-6.87,3050,3105,3109,0.83,0.981,C,40
18,1112480,12.15,-10.2,11.9044,-10.6396,11.87,-10.62,15500,15667,15524,0.906,0.998,C,46,,,18,1134200,12.52,-6.8,12.5208,-6.8,12.54,-6.87,32500,31551,31878,0.928,0.981,C,49
19,1112500,12.33,-10.16,12.445,-10.3067,12.46,-10.29,21700,21921,21879,0.898,0.992,C,40,,,19,1134220,11.42,-6.57,11.4183,-6.5708,11.37,-6.54,31800,31042,30440,0.941,0.957,C,47
20,1134020,11.15,-8.55,11.1508,-8.5542,11.12,-8.62,23300,23586,23600,0.919,0.987,N,,,,20,1134250,13.7167,-6.05,13.7184,-6.05,13.71,-6.04,137000,131760,130780,0.954,0.955,C,58
21,1134030,11.6833,-8.6667,11.6875,-8.665,11.62,-8.71,71750,70764,70147,0.949,0.978,C,51,,,21,1134300,13.2167,-5.9,13.2142,-5.8983,13.21,-5.96,101600,99879,99966,0.961,0.984,C,59
22,1134040,11.97,-8.23,11.9692,-8.2317,11.96,-8.29,35300,33102,33166,0.924,0.94,V,44,1134050,54,22,1134310,12.02,-6.68,12.0048,-5.6585,11.96,-5.62,14300,14355,14321,0.907,0.999,C,42
23,1134050,11.58,-8.17,11.58,-8.1783,11.62,-8.21,34200,31902,31994,0.926,0.935,C,54,,,23,1134450,13.38,-4.92,13.3808,-4.92,13.37,-4.96,116000,111680,112226,0.965,0.967,C,60
24,1134060,11.13,-8.2,11.1367,-8.195,11.12,-8.21,4100,4311,4285,0.854,0.957,N,,,,24,1134480,14.02,-4.25,14.0208,-4.245,14.04,-4.21,129000,130178,130454,0.965,0.989,C,52
25,1134080,10.8,-7.67,10.7975,-7.6692,10.71,-7.71,7900,8421,8504,0.881,0.929,C,40,,,25,1134500,14.53,-4.22,14.5417,-4.2083,14.62,-4.21,281600,278331,278082,0.969,0.988,C,61
26,1134100,12.8667,-7.55,12.865,-7.5483,12.87,-7.54,120000,117927,117453,0.959,0.979,C,59,,,26,1134700,16.2667,-3.3833,16.2667,-3.3833,16.21,-3.46,340000,345826,345493,0.97,0.984,C,61
27,1134110,11.4,-7.45,11.3975,-7.45,11.37,-7.46,15700,14911,15141,0.912,0.964,C,57,,,27,1134850,16.93,-0.58,16.9367,-0.5867,17.04,-0.79,348000,375409,373619,0.962,0.931,C,47
28,1134150,11.07,-6.85,11.075,-6.845,11.04,-6.87,3050,3105,3109,0.83,0.981,C,40,,,28,1134900,15.6667,0.5,15.6659,0.4967,15.46,0.62,566000,489271,490348,0.965,0.866,C,55
29,1134200,12.52,-6.8,12.5208,-6.8,12.54,-6.87,32500,31551,31878,0.928,0.981,C,49,,,29,1147010,-4.3,15.3,-4.2867,15.2933,-4.12,15.46,3475000,3605676,3597405,0.989,0.966,C,60
30,1134220,11.42,-6.57,11.4183,-6.5708,11.37,-6.54,31800,31042,30440,0.941,0.957,C,47,,,30,1159100,-28.7578,17.7214,-28.7594,17.7214,-28.71,17.54,866486,788290,790037,0.97,0.912,C,59
31,1134250,13.7167,-6.05,13.7184,-6.05,13.71,-6.04,137000,131760,130780,0.954,0.955,C,58,,,31,1159105,-28.0758,16.8983,-28.0767,16.8983,-28.21,16.79,985370,884454,885376,0.972,0.899,C,48
32,1134300,13.2167,-5.9,13.2142,-5.8983,13.21,-5.96,101600,99879,99966,0.961,0.984,C,59,,,32,1159125,-31.4372,20.4742,-31.4372,20.4742,-31.46,20.54,8938,8932,9087,0.903,0.984,C,55
33,1134310,12.02,-6.68,12.0048,-5.6585,11.96,-5.62,14300,14355,14321,0.907,0.999,C,42,,,33,1159130,-30.4744,20.5192,-30.4744,20.5183,-30.46,20.54,40073,37820,38370,0.935,0.958,C,57
34,1134350,11.68,-5.58,11.6792,-5.5867,11.71,-5.62,3685,3676,4193,0.841,0.879,N,,,,34,1159131,-31.3661,21.3222,-31.3661,21.3231,-31.37,21.37,13116,13141,13010,0.903,0.992,C,50
35,1134400,13.95,-5.37,13.9575,-5.3667,14.04,-5.21,141000,134221,133603,0.951,0.948,V,48,1134250,58,35,1159300,-28.4578,21.2392,-28.4644,21.2425,-28.46,21.21,364560,354208,355843,0.971,0.976,C,62
36,1134450,13.38,-4.92,13.3808,-4.92,13.37,-4.96,116000,111680,112226,0.965,0.967,C,60,,,36,1159301,-29.6517,22.7458,-29.6558,22.745,-29.62,22.79,339310,330300,330882,0.973,0.975,C,62
37,1134460,14.15,-4.98,14.1475,-4.9825,14.12,-4.96,143300,136982,136586,0.944,0.953,V,51,1134250,58,37,1159302,-29.1619,23.6958,-29.1619,23.6958,-29.21,23.71,99316,99215,100342,0.952,0.99,C,62
38,1134480,14.02,-4.25,14.0208,-4.245,14.04,-4.21,129000,130178,130454,0.965,0.989,C,52,,,38,1159303,-29.8147,24.4375,-29.8131,24.4383,-29.79,24.46,92346,91668,92661,0.954,0.997,C,52
39,1134500,14.53,-4.22,14.5417,-4.2083,14.62,-4.21,281600,278331,278082,0.969,0.988,C,61,,,39,1159304,-29.1829,23.5751,-29.182,23.5751,-29.12,23.62,296170,290845,291228,0.972,0.983,C,58
40,1134505,14.53,-4.22,14.5175,-4.1992,14.46,-4.21,132254,132254,132610,0.964,0.997,V,52,1134480,52,40,1159305,-30.5347,24.9625,-30.5347,24.9625,-30.62,24.87,8266,8195,8220,0.898,0.994,C,56
41,1134600,15.4,-4.23,15.3942,-4.2358,15.29,-4.21,302515,311494,310562,0.971,0.974,N,,,,41,1159330,-29.0425,24.5992,-29.0417,24.5992,-29.04,24.46,31233,28516,28709,0.921,0.919,C,52
42,1134620,16.42,-3.65,16.42,-3.6558,16.37,-3.62,2348,2348,2215,0.767,0.943,N,,,,42,1159333,-29.1608,26.5722,-29.1608,26.5722,-29.21,26.62,1650,1637,1569,0.826,0.951,C,54
43,1134630,16.13,-3.75,16.1183,-3.7475,16.12,-3.71,342087,342087,341958,0.971,1,V,50,1134700,61,43,1159335,-29.0286,24.6383,-29.0294,24.6383,-29.04,24.71,17313,14982,15218,0.9,0.879,C,48
44,1134700,16.2667,-3.3833,16.2667,-3.3833,16.21,-3.46,340000,345826,345493,0.97,0.984,C,61,,,44,1159337,-28.9486,26.3211,-28.9486,26.3203,-28.96,26.29,4542,4544,4567,0.865,0.995,C,51
45,1134730,16.6666,-3.0333,16.6549,-3.03,16.54,-3.12,342000,348700,347464,0.967,0.984,V,53,1134700,61,45,1159400,-27.5733,24.7458,-27.5733,24.7458,-27.54,24.79,11044,10701,10487,0.882,0.95,C,57
46,1134850,16.93,-0.58,16.9367,-0.5867,17.04,-0.79,348000,375409,373619,0.962,0.931,C,47,,,46,1159403,-27.9032,24.6151,-27.9024,24.6151,-27.87,24.62,23900,24009,23529,0.932,0.984,C,61
47,1134900,15.6667,0.5,15.6659,0.4967,15.46,0.62,566000,489271,490348,0.965,0.866,C,55,,,47,1159405,-28.3865,24.2971,-28.3865,24.2979,-28.37,24.37,30810,30670,30041,0.933,0.975,C,54
48,1147010,-4.3,15.3,-4.2867,15.2933,-4.12,15.46,3475000,3605676,3597405,0.989,0.966,C,60,,,48,1159413,-27.935,26.1244,-27.935,26.1244,-27.96,26.12,16153,16032,15983,0.916,0.989,C,59
49,1147011,-0.35,25.45,-0.35,25.4525,-0.29,25.46,948500,931904,931345,0.981,0.982,N,,,,49,1159415,-28.1444,26.4181,-28.1444,26.4172,-28.12,26.46,6994,6951,7146,0.869,0.979,C,49
50,1147012,-2.95,25.9167,-2.9542,25.9283,-2.79,25.87,810440,784993,784348,0.978,0.968,N,,,,50,1159417,-28.1172,26.7192,-28.1172,26.7192,-28.12,26.71,7092,7046,6948,0.872,0.98,C,51
51,1147013,-4.1367,15.3333,-4.2909,15.2785,-4.46,15.12,3747320,3605702,3612918,0.99,0.964,N,,,,51,1159450,-28.7115,24.0729,-28.7115,24.0729,-28.62,24.04,157830,155137,154741,0.952,0.98,C,56
52,1150200,-3.1833,17.3833,-3.2158,17.3642,-3.21,17.37,737640,744477,742810,0.986,0.993,N,,,,52,1159490,-28.5162,24.6007,-28.5171,24.6007,-28.46,24.62,121220,119067,118968,0.942,0.981,C,61
53,1150201,-4.3333,20.5833,-4.3383,20.5717,-4.46,20.71,232560,240172,239078,0.971,0.973,N,,,,53,1159510,-27.3983,26.6131,-27.3983,26.6131,-27.37,26.62,7801,7748,7811,0.856,0.999,C,57
54,1159100,-28.7578,17.7214,-28.7594,17.7214,-28.71,17.54,866486,788290,790037,0.97,0.912,C,59,,,54,1159513,-27.6714,27.2369,-27.6714,27.2369,-27.62,27.29,3289,3537,3485,0.818,0.944,C,47
55,1159103,-28.9634,19.1519,-28.9642,19.1519,-28.87,18.96,859920,766719,769122,0.969,0.894,V,55,1159100,59,55,1159525,-27.0463,27.0046,-27.0454,27.0038,-27.04,27.04,5758,5732,5938,0.861,0.97,C,54
56,1159105,-28.0758,16.8983,-28.0767,16.8983,-28.21,16.79,985370,884454,885376,0.972,0.899,C,48,,,56,1159535,-27.3897,26.4639,-27.3897,26.4647,-27.37,26.54,79903,80185,80691,0.962,0.99,C,61
57,1159110,-31.8067,20.3578,-31.8067,20.3578,-31.87,20.37,1502,1495,1452,0.709,0.967,N,,,,57,1159545,-27.0101,26.6981,-27.0101,26.6989,-27.04,26.71,63437,63649,64294,0.952,0.987,C,59
58,1159120,-31.8153,20.5781,-31.8169,20.5781,-31.87,20.54,1679,1682,1670,0.754,0.995,N,,,,58,1159548,-26.6443,27.0903,-26.6443,27.0903,-26.62,27.12,3595,3817,3920,0.823,0.917,C,52
59,1159125,-31.4372,20.4742,-31.4372,20.4742,-31.46,20.54,8938,8932,9087,0.903,0.984,C,55,,,59,1159550,-26.9706,27.2097,-26.9706,27.2105,-26.87,27.29,49120,49237,49464,0.949,0.993,C,62
60,1159130,-30.4744,20.5192,-30.4744,20.5183,-30.46,20.54,40073,37820,38370,0.935,0.958,C,57,,,60,1159601,-31.0008,26.3531,-31.0008,26.3531,-31.04,26.29,2397,2384,2199,0.8,0.917,C,51
61,1159131,-31.3661,21.3222,-31.3661,21.3231,-31.37,21.37,13116,13141,13010,0.903,0.992,C,50,,,61,1159650,-30.6781,26.7164,-30.6772,26.7156,-30.62,26.79,37070,36937,37093,0.935,0.999,C,61
62,1159290,-28.7747,20.7224,-28.7697,20.7241,-28.79,20.71,366070,359056,359978,0.972,0.983,V,57,1159300,62,62,1159651,-30.3364,27.3583,-30.3356,27.3583,-30.29,27.37,24745,24661,24726,0.934,0.999,C,61
63,1159300,-28.4578,21.2392,-28.4644,21.2425,-28.46,21.21,364560,354208,355843,0.971,0.976,C,62,,,63,1159653,-30.1597,27.4014,-30.1597,27.4014,-30.12,27.37,2990,2982,2903,0.811,0.971,C,54
64,1159301,-29.6517,22.7458,-29.6558,22.745,-29.62,22.79,339310,330300,330882,0.973,0.975,C,62,,,64,1159655,-30.0619,28.5098,-30.0619,28.5098,-30.04,28.54,10735,10726,10908,0.911,0.984,C,55
65,1159302,-29.1619,23.6958,-29.1619,23.6958,-29.21,23.71,99316,99215,100342,0.952,0.99,C,62,,,65,1159660,-30.8306,26.9206,-30.8297,26.9206,-30.87,26.96,8689,8652,8822,0.872,0.985,C,58
66,1159303,-29.8147,24.4375,-29.8131,24.4383,-29.79,24.46,92346,91668,92661,0.954,0.997,C,52,,,66,1159673,-28.8839,27.8894,-28.8839,27.8903,-28.87,27.96,3857,3860,3910,0.845,0.986,C,52
67,1159304,-29.1829,23.5751,-29.182,23.5751,-29.12,23.62,296170,290845,291228,0.972,0.983,C,58,,,67,1159675,-29.6167,27.0656,-29.6158,27.0656,-29.62,27.12,12852,12870,12969,0.91,0.991,C,55
68,1159305,-30.5347,24.9625,-30.5347,24.9625,-30.62,24.87,8266,8195,8220,0.898,0.994,C,56,,,68,1159800,-26.8202,28.0633,-26.8202,28.0633,-26.87,28.12,38564,38635,38812,0.944,0.994,C,53
69,1159320,-29.6581,25.9728,-29.6572,25.9728,-29.62,25.96,2381,2359,2531,0.766,0.941,N,,,,69,1159805,-27.2717,28.4911,-27.2717,28.4911,-27.29,28.46,15673,15645,15520,0.923,0.99,C,61
70,1159330,-29.0425,24.5992,-29.0417,24.5992,-29.04,24.46,31233,28516,28709,0.921,0.919,C,52,,,70,1159811,-27.4308,28.5264,-27.4308,28.5264,-27.54,28.54,4650,4646,4543,0.843,0.977,C,52
71,1159333,-29.1608,26.5722,-29.1608,26.5722,-29.21,26.62,1650,1637,1569,0.826,0.951,C,54,,,71,1159813,-27.3014,28.5856,-27.3014,28.5856,-27.29,28.62,10489,10529,10445,0.9,0.996,C,55
72,1159335,-29.0286,24.6383,-29.0294,24.6383,-29.04,24.71,17313,14982,15218,0.9,0.879,C,48,,,72,1159815,-27.8028,28.7675,-27.8028,28.7675,-27.79,28.79,7497,7495,7558,0.883,0.992,C,54
73,1159337,-28.9486,26.3211,-28.9486,26.3203,-28.96,26.29,4542,4544,4567,0.865,0.995,C,51,,,73,1159880,-27.0023,28.7653,-27.0023,28.7661,-27.04,28.79,15500,15563,15727,0.916,0.986,C,56
74,1159400,-27.5733,24.7458,-27.5733,24.7458,-27.54,24.79,11044,10701,10487,0.882,0.95,C,57,,,74,1159890,-26.8411,29.7234,-26.8419,29.7234,-26.87,29.79,4686,4717,4671,0.864,0.997,C,56
75,1159403,-27.9032,24.6151,-27.9024,24.6151,-27.87,24.62,23900,24009,23529,0.932,0.984,C,61,,,75,1159900,-27.1694,29.2331,-27.1694,29.2322,-27.21,29.29,4152,4146,4412,0.809,0.941,C,53
76,1159405,-28.3865,24.2971,-28.3865,24.2979,-28.37,24.37,30810,30670,30041,0.933,0.975,C,54,,,76,1160235,-31.8625,18.6864,-31.8625,18.6856,-31.87,18.71,24044,23961,24210,0.928,0.993,C,61
77,1159410,-27.8403,25.9044,-27.8411,25.9044,-27.87,25.87,17754,17914,17876,0.923,0.993,N,,,,77,1160303,-33.8978,20.0117,-33.8978,20.0117,-33.87,19.96,6713,6709,7001,0.867,0.959,C,55
78,1159413,-27.935,26.1244,-27.935,26.1244,-27.96,26.12,16153,16032,15983,0.916,0.989,C,59,,,78,1160304,-33.8181,19.6933,-33.8181,19.6933,-33.79,19.62,4355,4353,4576,0.865,0.952,C,53
79,1159415,-28.1444,26.4181,-28.1444,26.4172,-28.12,26.46,6994,6951,7146,0.869,0.979,C,49,,,79,1160305,-34.0675,20.4056,-34.0683,20.4047,-34.04,20.37,9842,9855,10200,0.881,0.965,C,57
80,1159417,-28.1172,26.7192,-28.1172,26.7192,-28.12,26.71,7092,7046,6948,0.872,0.98,C,51,,,80,1160320,-32.5028,19.535,-32.5028,19.535,-32.54,19.54,6895,6850,6699,0.87,0.972,C,57
81,1159450,-28.7115,24.0729,-28.7115,24.0729,-28.62,24.04,157830,155137,154741,0.952,0.98,C,56,,,81,1160352,-33.6939,21.1431,-33.6939,21.1431,-33.71,21.12,5837,5856,6081,0.845,0.96,C,51
82,1159490,-28.5162,24.6007,-28.5171,24.6007,-28.46,24.62,121220,119067,118968,0.942,0.981,C,61,,,82,1160353,-33.7492,21.4444,-33.7492,21.4444,-33.79,21.37,12493,12470,12470,0.897,0.998,C,55
83,1159500,-28.4989,24.6031,-28.4989,24.6039,-28.46,24.62,120982,119057,118968,0.961,0.983,V,57,1159490,61,83,1160373,-33.9803,21.6533,-33.9803,21.6533,-33.96,21.62,43451,43444,43388,0.94,0.999,C,61
84,1159510,-27.3983,26.6131,-27.3983,26.6131,-27.37,26.62,7801,7748,7811,0.856,0.999,C,57,,,84,1160378,-33.31,21.6342,-33.31,21.635,-33.29,21.62,17076,17063,16891,0.917,0.989,C,58
85,1159511,-27.3997,26.6256,-27.3997,26.6256,-27.37,26.62,7794,7742,7811,0.855,0.998,V,51,1159510,57,85,1160380,-33.4769,23.0294,-33.4778,23.0294,-33.46,23.04,4230,4291,4449,0.849,0.951,C,46
86,1159513,-27.6714,27.2369,-27.6714,27.2369,-27.62,27.29,3289,3537,3485,0.818,0.944,C,47,,,86,1160391,-33.66,21.7731,-33.66,21.7731,-33.62,21.79,10927,10989,11384,0.904,0.96,C,41
87,1159525,-27.0463,27.0046,-27.0454,27.0038,-27.04,27.04,5758,5732,5938,0.861,0.97,C,54,,,87,1160460,-33.7308,24.6178,-33.7308,24.6178,-33.62,24.62,29571,29461,29582,0.927,1,C,61
88,1159535,-27.3897,26.4639,-27.3897,26.4647,-27.37,26.54,79903,80185,80691,0.962,0.99,C,61,,,88,1160481,-32.0689,23.0075,-32.0689,23.0083,-32.04,23.04,3672,3673,3645,0.855,0.993,C,39
89,1159540,-27.5606,26.2333,-27.5606,26.2325,-27.62,26.21,1895,1412,1215,0.7,0.641,N,,,,89,1160493,-33.0993,25.0115,-33.0993,25.0115,-33.04,24.96,13422,13416,13399,0.916,0.998,C,57
90,1159545,-27.0101,26.6981,-27.0101,26.6989,-27.04,26.71,63437,63649,64294,0.952,0.987,C,59,,,90,1160510,-33.0981,26.4447,-33.0981,26.4447,-33.12,26.37,23067,23027,23338,0.927,0.988,C,61
91,1159548,-26.6443,27.0903,-26.6443,27.0903,-26.62,27.12,3595,3817,3920,0.823,0.917,C,52,,,91,1160511,-31.9031,25.4817,-31.9031,25.4817,-31.87,25.46,9545,9095,9061,0.899,0.949,C,48
92,1159549,-26.3702,27.2481,-26.3702,27.2481,-26.37,27.29,1511,1518,1537,0.767,0.983,N,,,,92,1160520,-31.57,25.5439,-31.57,25.5431,-31.54,25.62,1565,1570,1538,0.8,0.983,C,52
93,1159550,-26.9706,27.2097,-26.9706,27.2105,-26.87,27.29,49120,49237,49464,0.949,0.993,C,62,,,93,1160528,-32.0858,25.5758,-32.0867,25.5758,-32.12,25.62,10830,10848,11169,0.898,0.97,C,55
94,1159555,-26.7383,27.592,-26.7374,27.592,-26.71,27.62,47222,47314,47477,0.95,0.995,V,56,1159550,62,94,1160529,-32.3142,25.7411,-32.3142,25.7411,-32.29,25.79,4742,4727,4805,0.885,0.987,C,56
95,1159560,-26.7287,27.718,-26.7287,27.7172,-26.71,27.71,1121,1134,1150,0.767,0.975,N,,,,95,1160533,-33.0276,25.8933,-33.0276,25.8925,-32.96,25.87,19130,19098,19156,0.924,0.999,C,59
96,1159570,-26.6199,27.9805,-26.6199,27.9797,-26.62,27.96,2205,2223,2227,0.77,0.99,N,,,,96,1160580,-33.2378,26.9947,-33.2378,26.9947,-33.21,26.96,29745,29706,30191,0.937,0.985,C,60
97,1159580,-26.6708,28.0304,-26.6708,28.0304,-26.71,28.12,3474,3480,3529,0.798,0.984,N,,,,97,1160600,-33.1853,27.3906,-33.1853,27.3906,-33.12,27.37,2530,2520,2451,0.835,0.969,C,54
98,1159600,-31.04,26.34,-31.03,26.3308,-31.04,26.29,2400,2173,2199,0.842,0.916,N,,,,98,1160682,-30.2473,29.9291,-30.2465,29.9291,-30.21,29.96,3586,3588,3567,0.875,0.995,C,58
99,1159601,-31.0008,26.3531,-31.0008,26.3531,-31.04,26.29,2397,2384,2199,0.8,0.917,C,51,,,99,1160700,-29.7436,29.9047,-29.7436,29.9056,-29.71,29.87,1744,1740,1790,0.801,0.974,C,54
100,1159650,-30.6781,26.7164,-30.6772,26.7156,-30.62,26.79,37070,36937,37093,0.935,0.999,C,61,,,100,1160701,-30.1689,30.6969,-30.1681,30.6978,-30.12,30.62,4358,4347,4317,0.833,0.991,C,50
101,1159651,-30.3364,27.3583,-30.3356,27.3583,-30.29,27.37,24745,24661,24726,0.934,0.999,C,61,,,101,1160725,-29.6424,30.6886,-29.6424,30.6886,-29.62,30.71,3771,3496,3732,0.879,0.99,C,53
102,1159653,-30.1597,27.4014,-30.1597,27.4014,-30.12,27.37,2990,2982,2903,0.811,0.971,C,54,,,102,1160730,-31.9228,26.7856,-31.9228,26.7856,-31.87,26.79,2193,2189,2262,0.807,0.969,C,54
103,1159655,-30.0619,28.5098,-30.0619,28.5098,-30.04,28.54,10735,10726,10908,0.911,0.984,C,55,,,103,1160740,-31.9203,28.4478,-31.9203,28.4486,-31.87,28.46,4942,4919,4747,0.868,0.961,C,52
104,1159660,-30.8306,26.9206,-30.8297,26.9206,-30.87,26.96,8689,8652,8822,0.872,0.985,C,58,,,104,1160763,-31.2381,28.8522,-31.2381,28.8531,-31.21,28.79,4285,4282,4185,0.841,0.977,C,56
105,1159673,-28.8839,27.8894,-28.8839,27.8903,-28.87,27.96,3857,3860,3910,0.845,0.986,C,52,,,105,1160772,-31.1043,29.3997,-31.1043,29.3989,-31.12,29.46,2703,2702,2657,0.801,0.983,C,48
106,1159675,-29.6167,27.0656,-29.6158,27.0656,-29.62,27.12,12852,12870,12969,0.91,0.991,C,55,,,106,1160773,-30.8601,29.0712,-30.8601,29.0721,-30.79,29.04,6906,6901,6880,0.89,0.996,C,55
107,1159800,-26.8202,28.0633,-26.8202,28.0633,-26.87,28.12,38564,38635,38812,0.944,0.994,C,53,,,107,1160774,-30.7759,29.0322,-30.7767,29.0322,-30.71,28.96,3059,3085,2959,0.82,0.967,C,46
108,1159805,-27.2717,28.4911,-27.2717,28.4911,-27.29,28.46,15673,15645,15520,0.923,0.99,C,61,,,108,1160775,-30.5706,29.15,-30.5714,29.15,-30.54,29.12,2483,2471,2445,0.837,0.985,C,56
109,1159810,-27.2983,28.4956,-27.2992,28.4956,-27.29,28.54,15522,15454,15292,0.923,0.985,V,55,1159805,61,109,1160777,-31.3955,29.2651,-31.3955,29.2651,-31.37,29.21,19273,19253,19093,0.933,0.991,C,52
110,1159811,-27.4308,28.5264,-27.4308,28.5264,-27.54,28.54,4650,4646,4543,0.843,0.977,C,52,,,110,1160788,-29.7151,30.8692,-29.7159,30.8692,-29.71,30.79,4084,4077,4254,0.872,0.96,C,52
111,1159813,-27.3014,28.5856,-27.3014,28.5856,-27.29,28.62,10489,10529,10445,0.9,0.996,C,55,,,111,1160850,-28.0592,30.3733,-28.0592,30.3733,-28.04,30.37,5887,5914,5539,0.857,0.941,C,55
112,1159815,-27.8028,28.7675,-27.8028,28.7675,-27.79,28.79,7497,7495,7558,0.883,0.992,C,54,,,112,1160880,-29.1403,31.3925,-29.1419,31.3917,-29.12,31.37,28920,28873,28405,0.932,0.982,C,60
113,1159880,-27.0023,28.7653,-27.0023,28.7661,-27.04,28.79,15500,15563,15727,0.916,0.986,C,56,,,113,1160881,-28.7358,29.8208,-28.7367,29.8208,-28.71,29.79,4154,4197,4132,0.854,0.995,C,57
114,1159890,-26.8411,29.7234,-26.8419,29.7234,-26.87,29.79,4686,4717,4671,0.864,0.997,C,56,,,114,1160883,-28.75,30.4422,-28.75,30.4431,-28.79,30.46,12862,12857,12862,0.913,1,C,61
115,1159900,-27.1694,29.2331,-27.1694,29.2322,-27.21,29.29,4152,4146,4412,0.809,0.941,C,53,,,115,1160915,-28.3394,31.3738,-28.3394,31.3747,-28.29,31.29,3939,3939,3932,0.831,0.998,C,56
116,1159910,-26.8614,28.8844,-26.8622,28.8844,-26.87,28.87,2239,2229,2374,0.787,0.943,N,,,,116,1160919,-28.4456,32.3251,-28.4456,32.3243,-28.46,32.12,9099,9399,9374,0.893,0.971,C,52
117,1160102,-34.0789,20.1442,-34.0789,20.1442,-34.04,20.12,2008,2006,1991,0.667,0.992,N,,,,117,1160930,-27.6603,32.4225,-27.6628,32.4225,-27.62,32.37,5068,5038,4858,0.819,0.959,C,36
