no	GRDC_No	lat	lon	areaGRDC	newlat	newlon	newarea	UPS_Indicator	dist_Indicator	Indicator	shapefile
29	1134080	10.8	-7.67	7900	10.7975	-7.669166667	8420.525	6.588928995	2.909295447	12.40751989	1
30	1134100	12.8667	-7.55	120000	12.86503333	-7.548333333	117926.54	1.727884115	2.602152955	6.932190024	1
31	1134110	11.4	-7.45	15700	11.3975	-7.45	14911.484	5.022392516	2.76	10.54239252	1
32	1134150	11.07	-6.85	3050	11.075	-6.845	3104.6797	1.792776639	7.806458864	17.40569437	1
33	1134200	12.52	-6.8	32500	12.52083333	-6.8	31551.213	2.919344952	0.92	4.759344952	1
34	1134220	11.42	-6.57	31800	11.41833333	-6.570833333	31041.777	2.384347976	2.057182539	6.498713054	1
35	1134250	13.7167	-6.05	137000	13.71836667	-6.05	131760.19	3.824680657	1.84	7.504680657	1
36	1134300	13.2167	-5.9	101600	13.2142	-5.898333333	99879.13	1.693766917	3.317107173	8.327981264	1
37	1134310	12.02	-6.68	14300	12.00481	-5.65845	0.016728207	99.99988302	1000	349.999883	1
38	1134350	11.68	-5.58	3685	11.67916667	-5.586666667	3675.7615	0.250706252	7.417277128	15.08526051	1
39	1134400	13.95	-5.37	141000	13.9575	-5.366666667	134220.95	4.807834663	9.060949178	22.92973302	1
40	1134450	13.38	-4.92	116000	13.38083333	-4.92	111679.54	3.724535291	0.92	5.564535291	1
41	1134460	14.15	-4.98	143300	14.1475	-4.9825	136981.56	4.409237613	3.903229432	12.21569648	1
42	1134480	14.02	-4.25	129000	14.02083333	-4.245	130177.74	0.91297844	5.596141528	12.1052615	1
43	1134500	14.53	-4.22	281600	14.54166667	-4.208333333	278330.94	1.160888672	18.21507068	37.59103004	1
44	1134505	14.53	-4.22	-999	14.5175	-4.199166667	132254.44	0.484164545	26.82237872	13.8953539	1
45	1134600	15.4	-4.23	302515	15.39416667	-4.235833333	311494	2.968096512	9.107535342	21.1831672	1
46	1134620	16.42	-3.65	-999	16.42	-3.655833333	2348.0574	73.23658968	1006.44	324.8465897	1
47	1134630	16.13	-3.75	-999	16.11833333	-3.7475	342087.34	0.43366417	13.17239538	26.77845493	1
48	1134650	15.82	-3.7	-999	15.82	-3.701666667	687.977	95.35108014	1001.84	345.8110801	1
49	1134700	16.2667	-3.3833	340000	16.2667	-3.3833	345825.53	1.713391544	0	1.713391544	1
50	1134705	16.13	-3.22	362840	16.13083333	-3.219166667	1455	99.5991023	1001.301076	349.9243714	1
51	1134730	16.6666	-3.0333	342000	16.65493333	-3.029966667	348699.66	1.958963816	13.3954022	28.74976821	1
52	1134850	16.93	-0.58	348000	16.93666667	-0.586666667	375409.44	7.876275144	10.40861182	28.69349878	1
53	1134900	15.6667	0.5	566000	15.66586667	0.496666667	489270.78	13.55639907	3.793257176	21.14291342	1
54	1147010	-4.3	15.3	3475000	-4.286666667	15.29333333	3605675.5	3.760446043	16.45746031	36.67536667	1
55	1147011	-0.35	25.45	948500	-0.35	25.4525	931903.56	1.749756194	2.76	7.269756194	1
56	1147012	-2.95	25.916666	810440	-2.954166667	25.92833267	784992.7	3.139937873	13.67678325	30.49350437	1
57	1147013	-4.136667	15.333333	3747320	-4.29087	15.27846	0.025578074	99.99999932	1000	349.9999993	1
58	1150200	-3.183333	17.383333	737640	-3.215833	17.36416633	744476.56	0.926815588	41.65477164	21.75420141	0
59	1150201	-4.333333	20.583333	232560	-4.338333	20.57166633	240172.22	3.273227877	14.01302251	31.29927291	0
60	1159100	-28.757778	17.721389	866486	-28.75944467	17.721389	788290.1	9.024482219	1.84	12.70448222	1
61	1159103	-28.96340283	19.15192169	859920	-28.96423616	19.15192169	766718.94	10.83834107	0.92	12.67834107	0
62	1159105	-28.07583	16.89833	985370	-28.07666333	16.89833	884454.1	10.24141947	0.92	12.08141947	0
63	1159110	-31.806667	20.357778	1502	-31.806667	20.357778	1495.1741	0.454455908	0	0.454455908	0
64	1159120	-31.815278	20.578056	1679	-31.81694467	20.578056	1682.2831	0.195537883	1.84	3.875537883	0
65	1159125	-31.43716033	20.47416897	8938	-31.43716033	20.47416897	8931.652	0.071018754	0	0.071018754	0
66	1159130	-30.474444	20.519167	40073	-30.474444	20.51833367	37820.164	5.621830004	0.92	7.461830004	0
67	1159131	-31.366111	21.322222	13116	-31.366111	21.32305533	13140.824	0.189266688	0.92	2.029266688	0
68	1159290	-28.77466011	20.72242939	366070	-28.76966011	20.72409606	359056.03	1.916018453	5.818590895	13.55320024	0
69	1159300	-28.457778	21.239167	364560	-28.46444467	21.24250033	354207.8	2.83963888	8.228730157	19.29709919	1
70	1159301	-29.651667	22.745833	339310	-29.65583367	22.74499967	330300.22	2.655324408	4.691097953	12.03752031	0
71	1159302	-29.161944	23.695833	99316	-29.161944	23.695833	99214.664	0.102033849	0	0.102033849	0
72	1159303	-29.814722	24.4375	92346	-29.81305533	24.43833333	91667.82	0.73438989	2.057182539	4.848754968	0
73	1159304	-29.1828515	23.57510692	296170	-29.18201817	23.57510692	290844.6	1.798091046	0.92	3.638091046	0
74	1159305	-30.53472222	24.9625	8266	-30.53472222	24.9625	8194.781	0.86158662	0	0.86158662	0
75	1159310	-29.144167	26.318056	348	-29.14500033	26.318056	338.0247	2.866468758	0.92	4.706468758	0
76	1159320	-29.658056	25.972778	2381	-29.65722267	25.972778	2359.0554	0.92165393	0.92	2.76165393	0
77	1159321	-29.8125	26.2117	596	-29.8125	26.2117	590.3514	0.947755135	0	0.947755135	0
78	1159325	-29.9025	26.214444	191	-29.90333333	26.214444	194.5258	1.845969954	0.92	3.685969954	0
79	1159330	-29.0425	24.59916667	31233	-29.04166667	24.59916667	28515.607	8.700389262	0.92	10.54038926	0
80	1159333	-29.16083333	26.57222222	1650	-29.16083333	26.57222222	1636.9542	0.790653113	0	0.790653113	0
81	1159335	-29.02861111	24.63833333	17313	-29.02944444	24.63833333	14981.809	13.46497664	0.92	15.30497664	0
82	1159337	-28.94861111	26.32111111	4542	-28.94861111	26.32027778	4543.8354	0.040410595	0.92	1.880410595	0
83	1159400	-27.573333	24.745833	11044	-27.573333	24.745833	10700.503	3.110259601	0	3.110259601	0
84	1159403	-27.90320789	24.61514311	23900	-27.90237456	24.61514311	24009.35	0.457529746	0.92	2.297529746	0
85	1159405	-28.38651139	24.29707622	30810	-28.38651139	24.29790955	30670.256	0.45356748	0.92	2.29356748	0
86	1159410	-27.840278	25.904444	17754	-27.84111133	25.904444	17914.303	0.902910524	0.92	2.742910524	0
87	1159413	-27.935	26.12444444	16153	-27.935	26.12444444	16032.071	0.748645521	0	0.748645521	0
88	1159415	-28.14444444	26.41805556	6994	-28.14444444	26.41722223	6950.526	0.621591666	0.92	2.461591666	0
89	1159417	-28.11722222	26.71916667	7092	-28.11722222	26.71916667	7046.351	0.643667876	0	0.643667876	0
90	1159419	-28.11666667	26.72527778	586.3	-28.11666667	26.72611111	587.70135	0.239016712	0.92	2.079016712	0
91	1159450	-28.71149156	24.07290156	157830	-28.71149156	24.07290156	155136.64	1.706493933	0	1.706493933	0
92	1159490	-28.51622689	24.60069589	121220	-28.51706022	24.60069589	119067.266	1.775890426	0.92	3.615890426	0
93	1159500	-28.498889	24.603056	120982	-28.498889	24.60388933	119056.74	1.59135889	0.92	3.43135889	1
94	1159510	-27.398333	26.613056	7801	-27.398333	26.613056	7747.714	0.683067976	0	0.683067976	0
95	1159511	-27.399722	26.625556	7794	-27.399722	26.625556	7741.8965	0.668508027	0	0.668508027	0
96	1159512	-27.935556	27.996389	863	-27.93722267	27.996389	854.0411	1.038113944	1.84	4.718113944	0
97	1159513	-27.67138889	27.23694444	3289	-27.67138889	27.23694444	3537.3264	7.550210277	0	7.550210277	0
98	1159520	-27.355833	27.285556	905	-27.35666633	27.285556	911.29333	0.695396128	0.92	2.535396128	0
99	1159525	-27.04628	27.00464	5758	-27.04544667	27.00380667	5732.178	0.448450458	1.301076477	3.050603412	0
100	1159530	-27.37	26.350556	867	-27.37	26.34972267	901.3081	3.95710559	0.92	5.79710559	0
101	1159535	-27.38972222	26.46388889	79903	-27.38972222	26.46472222	80185.016	0.35294748	0.92	2.19294748	0
102	1159540	-27.560556	26.233333	1895	-27.560556	26.23249967	1411.5289	25.51298519	0.92	27.35298519	0
103	1159545	-27.01011	26.69808	63437	-27.01011	26.69891333	63648.832	0.333925046	0.92	2.173925046	0
104	1159546	-26.91606	26.81722	818	-26.91439333	26.81638667	826.07697	0.987404075	2.057182539	5.101769153	0
105	1159548	-26.64428	27.09033	3595	-26.64428	27.09033	3817.2698	6.182747577	0	6.182747577	0
106	1159549	-26.37022	27.24811	1511	-26.37022	27.24811	1517.981	0.462009069	0	0.462009069	0
107	1159550	-26.97056	27.20967	49120	-26.97056	27.21050333	49236.6	0.237381031	0.92	2.077381031	0
108	1159555	-26.73828	27.59197	47222	-26.73744667	27.59197	47313.715	0.194220583	0.92	2.034220583	0
109	1159560	-26.72867	27.718	1121	-26.72867	27.71716667	1133.7516	1.137518904	0.92	2.977518904	0
110	1159570	-26.61994444	27.98052778	2205	-26.61994444	27.97969445	2222.6438	0.800172282	0.92	2.640172282	0
111	1159580	-26.67075	28.03044	3474	-26.67075	28.03044	3480.1091	0.175852932	0	0.175852932	0
112	1159600	-31.04	26.34	2400	-31.03	26.33083333	2173.432	9.440338135	14.97651495	39.39336803	1
113	1159601	-31.000833	26.353056	2397	-31.000833	26.353056	2384.0364	0.540826994	0	0.540826994	1
114	1159650	-30.678056	26.716389	37070	-30.67722267	26.71555567	36936.73	0.359507772	1.301076477	2.961660727	1
115	1159651	-30.336389	27.358333	24745	-30.33555567	27.358333	24660.502	0.341475235	0.92	2.181475235	0
116	1159653	-30.15972222	27.40138889	2990	-30.15972222	27.40138889	2982.1575	0.26229195	0	0.26229195	0
117	1159655	-30.06186111	28.50975	10735	-30.06186111	28.50975	10725.841	0.085320724	0	0.085320724	0
118	1159660	-30.830556	26.920556	8689	-30.82972267	26.920556	8651.889	0.42710701	0.92	2.26710701	0
119	1159670	-28.694722	28.234722	522	-28.69388867	28.23555533	518.0883	0.749364393	1.301076477	3.351517347	0
120	1159673	-28.88388889	27.88944444	3857	-28.88388889	27.89027777	3860.4077	0.088351435	0.92	1.928351435	0
121	1159675	-29.61666667	27.06555556	12852	-29.61583334	27.06555556	12869.6045	0.13697862	0.92	1.97697862	0
122	1159800	-26.820222	28.063306	38564	-26.820222	28.063306	38634.684	0.183289062	0	0.183289062	1
123	1159805	-27.27166667	28.49111111	15673	-27.27166667	28.49111111	15644.699	0.180570288	0	0.180570288	0
124	1159810	-27.298333	28.495556	15522	-27.29916633	28.495556	15453.62	0.440535258	0.92	2.280535258	0
125	1159811	-27.43083333	28.52638889	4650	-27.43083333	28.52638889	4646.1743	0.082272765	0	0.082272765	0
126	1159813	-27.30138889	28.58555556	10489	-27.30138889	28.58555556	10529.069	0.382012927	0	0.382012927	0
127	1159815	-27.80277778	28.7675	7497	-27.80277778	28.7675	7495.01	0.026547077	0	0.026547077	0
128	1159820	-27.847778	28.945	864	-27.847778	28.94583333	871.8119	0.904153894	0.92	2.744153894	0
129	1159825	-28.085	28.836667	393	-28.085	28.836667	388.51263	1.141823339	0	1.141823339	0
130	1159830	-28.375556	28.861667	690	-28.37638933	28.861667	696.4472	0.934377477	0.92	2.774377477	0
131	1159850	-26.248056	27.589444	32	-26.24888933	27.589444	31.787493	0.66408515	0.92	2.50408515	0
132	1159860	-26.232778	27.668611	26	-26.23361133	27.668611	25.143637	3.293704987	0.92	5.133704987	0
133	1159880	-27.00231	28.76528	15500	-27.00231	28.76611333	15562.907	0.405853075	0.92	2.245853075	0
134	1159890	-26.84108	29.72336	4686	-26.84191333	29.72336	4716.9297	0.660044548	0.92	2.500044548	0
135	1159900	-27.169444	29.233056	4152	-27.169444	29.23222267	4145.743	0.150694507	0.92	1.990694507	1
136	1159910	-26.861389	28.884444	2239	-26.86222233	28.884444	2229.0896	0.44262619	0.92	2.28262619	0
137	1160091	-32.59638889	19.00833333	908	-32.59555556	19.00916666	889.33026	2.056138631	1.301076477	4.658291586	0
138	1160095	-33.08883333	19.21877778	121	-33.08883333	19.21794445	120.698975	0.248781315	0.92	2.088781315	0
139	1160100	-34.0775	19.29	502	-34.07833333	19.28916667	498.09457	0.777973312	1.301076477	3.380126267	0
140	1160101	-34.062222	19.072222	39	-34.06305533	19.07138867	39.02642	0.067745111	1.301076477	2.669898066	0
141	1160102	-34.07888889	20.14416667	2008	-34.07888889	20.14416667	2006.47	0.076196678	0	0.076196678	0
142	1160113	-34.32944444	18.98833333	464	-34.32944444	18.98833333	463.59943	0.086330545	0	0.086330545	0
143	1160115	-34.405278	19.595833	599	-34.405278	19.595833	599.1976	0.032983439	0	0.032983439	0
144	1160120	-34.291667	20.022778	381	-34.291667	20.02361133	378.69803	0.604191978	0.92	2.444191978	0
145	1160200	-30.823889	18.1175	2351	-30.823889	18.1175	2341.0176	0.424603227	0	0.424603227	1
146	1160210	-33.986389	18.955556	20	-33.98722233	18.95638933	21.739527	8.697633743	1.301076477	11.2997867	0
147	1160220	-32.780278	19.283056	267	-32.780278	19.283056	285.36032	6.876524736	0	6.876524736	1
148	1160230	-32.211667	18.936667	163	-32.21083367	18.936667	177.3072	8.777426503	0.92	10.6174265	0
149	1160235	-31.8625	18.68639	24044	-31.8625	18.68555667	23961.297	0.34396575	0.92	2.18396575	0
150	1160240	-33.184722	19.155278	19	-33.184722	19.15444467	19.120712	0.635327791	0.92	2.475327791	0
151	1160245	-33.134444	19.060556	183	-33.134444	19.060556	184.96509	1.073818519	0	1.073818519	0
152	1160250	-33.463889	18.740278	246	-33.463889	18.73944467	243.99443	0.815272137	0.92	2.655272137	0
153	1160255	-33.705	18.699722	473	-33.705	18.69888867	469.46762	0.746803203	0.92	2.586803203	0
154	1160256	-33.72277778	18.61666667	1311	-33.72277778	18.61666667	1322.259	0.858812601	0	0.858812601	0
155	1160257	-33.581944	18.361944	23	-33.58027733	18.359444	26.727087	16.20472618	3.317107173	22.83894052	0
156	1160260	-33.808611	18.984167	726	-33.79194433	18.96833367	504.29614	30.53772141	25.37933017	43.22738649	0
157	1160263	-33.70777778	18.99111111	628	-33.70111111	18.97944444	622.9891	0.79791804	14.83455426	30.46702655	0
158	1160265	-33.313889	19.074444	395	-33.31305567	19.074444	394.62216	0.095655224	0.92	1.935655224	0
159	1160266	-33.13083333	18.86277778	2936	-33.13083333	18.86277778	2950.3596	0.489087845	0	0.489087845	0
160	1160270	-33.352222	19.100278	35	-33.354722	19.102778	35.05952	0.170059204	3.903229432	7.976518068	0
161	1160271	-33.379444	19.149444	27	-33.374444	19.161944	31.794193	17.75627136	14.86305487	47.4823811	0
162	1160275	-33.388056	19.159167	10	-33.388056	19.159167	9.769447	2.305526733	0	2.305526733	0
163	1160290	-33.9125	18.943889	30	-33.91333333	18.94472233	30.95187	3.172899882	1.301076477	5.775052837	0
164	1160295	-33.890556	19.078889	46	-33.890556	19.078889	47.256134	2.730726159	0	2.730726159	0
165	1160300	-33.380556	19.301389	657	-33.380556	19.301389	659.4902	0.379021817	0	0.379021817	1
166	1160301	-33.421667	19.266944	753	-33.421667	19.26777733	755.79535	0.371228303	0.92	2.211228303	1
167	1160302	-34.070278	20.39	9854	-34.070278	20.39	9847.013	0.070908308	0	0.070908308	0
168	1160303	-33.89777778	20.01166667	6713	-33.89777778	20.01166667	6708.8	0.062568082	0	0.062568082	0
169	1160304	-33.81805556	19.69333333	4355	-33.81805556	19.69333333	4352.9688	0.046641791	0	0.046641791	0
170	1160305	-34.0675	20.40555556	9842	-34.06833333	20.40472223	9854.8955	0.131025278	1.301076477	2.733178232	0
171	1160310	-33.359444	19.298056	52	-33.359444	19.29638933	52.177734	0.341796875	1.84	4.021796875	0
172	1160315	-33.461667	19.617222	16	-33.46250033	19.617222	15.5128565	3.044646978	0.92	4.884646978	0
173	1160317	-33.568333	19.144722	85	-33.568333	19.14638867	83.79907	1.412856158	1.84	5.092856158	0
174	1160318	-33.756667	19.329722	152	-33.756667	19.32888867	151.43027	0.374824122	0.92	2.214824122	0
175	1160320	-32.502778	19.535	6895	-32.502778	19.535	6850.034	0.652151129	0	0.652151129	1
176	1160324	-33.763889	19.850833	24	-33.76555567	19.86666633	23.743227	1.069887479	17.57657532	36.22303812	0
177	1160325	-34.010278	19.837778	18	-34.010278	19.83861133	18.140348	0.779713525	0.92	2.619713525	0
178	1160327	-33.954167	19.587222	15	-33.95500033	19.587222	14.829516	1.136557261	0.92	2.976557261	0
179	1160328	-33.983333	19.329167	15	-33.983333	19.329167	15.072821	0.48547109	0	0.48547109	0
180	1160330	-32.601667	18.749444	660	-32.601667	18.75027733	660.4724	0.071577592	0.92	1.911577592	0
181	1160331	-33.964722	19.291389	56	-33.964722	19.291389	56.17407	0.31083652	0	0.31083652	0
182	1160332	-33.938611	19.170556	46	-33.94027767	19.16972267	45.675903	0.704557999	2.057182539	4.818923078	0
183	1160340	-33.562222	19.51	699	-33.56138867	19.51	705.84955	0.979906773	0.92	2.819906773	0
184	1160341	-33.87166667	20.00222222	1201	-33.87083334	20.00222222	1206.6278	0.468593474	0.92	2.308593474	0
185	1160343	-33.791111	20.123889	593	-33.791111	20.123889	594.9819	0.334211224	0	0.334211224	0
186	1160345	-33.708889	20.058333	76	-33.708889	20.058333	79.031265	3.988506919	0	3.988506919	0
187	1160346	-33.696389	19.928056	14	-33.69805567	19.925556	13.266869	5.236652919	3.317107173	11.87086727	0
188	1160347	-33.596389	19.761944	106	-33.596389	19.761944	106.55853	0.526917656	0	0.526917656	0
189	1160348	-33.638611	19.813611	48	-33.63777767	19.81277767	47.46477	1.115059853	1.301076477	3.717212807	0
190	1160350	-33.571944	20.701944	2900	-33.57277733	20.701944	2895.2827	0.162665005	0.92	2.002665005	1
191	1160351	-33.945278	22.614167	79	-33.94611133	22.614167	77.64736	1.71220031	0.92	3.55220031	0
192	1160352	-33.69388889	21.14305556	5837	-33.69388889	21.14305556	5856.053	0.326421495	0	0.326421495	0
193	1160353	-33.74916667	21.44444444	12493	-33.74916667	21.44444444	12470.24	0.182180146	0	0.182180146	0
194	1160361	-33.288056	19.727222	30	-33.288056	19.727222	32.910213	9.700711568	0	9.700711568	0
195	1160365	-33.489444	21.489167	268	-33.494444	21.48000033	264.46454	1.319202025	11.52756696	24.37433594	0
196	1160367	-33.489444	21.489444	25	-33.489444	21.49111067	25.118904	0.475616455	1.84	4.155616455	0
197	1160368	-33.491944	21.514167	25	-33.491944	21.51333367	25.189615	0.758460999	0.92	2.598460999	0
198	1160370	-34.030833	21.586389	95	-34.030833	21.586389	94.10347	0.943715949	0	0.943715949	0
199	1160373	-33.98027778	21.65333333	43451	-33.98027778	21.65333333	43443.926	0.016280911	0	0.016280911	0
200	1160375	-33.9875	21.759722	101	-33.98916667	21.76055533	110.996956	9.89797611	2.057182539	14.01234119	0
201	1160376	-33.50222222	21.62277778	7805	-33.496585	21.625766	396.42563	94.92087599	1002.76	345.610876	0
202	1160378	-33.31	21.634167	17076	-33.31	21.63500033	17063.068	0.075729917	0.92	1.915729917	0
203	1160380	-33.476944	23.029444	4230	-33.47777733	23.029444	4291.041	1.443050015	0.92	3.283050015	0
204	1160385	-33.545278	22.973889	33	-33.545278	22.973889	32.334564	2.016472094	0	2.016472094	0
205	1160390	-33.475556	22.547778	692	-33.475556	22.54944467	681.8474	1.467136978	1.84	5.147136978	0
206	1160391	-33.66	21.77305556	10927	-33.66	21.77305556	10988.697	0.564631332	0	0.564631332	0
207	1160393	-33.679167	22.14	351	-33.679167	22.14	344.86673	1.747370445	0	1.747370445	0
208	1160395	-33.368056	22.179167	29	-33.368056	22.18000033	29.495537	1.708747601	0.92	3.548747601	0
209	1160396	-33.4675	22.000556	137	-33.4675	22.000556	138.31032	0.956436491	0	0.956436491	0
210	1160398	-33.460833	21.960278	35	-33.460833	21.960278	34.436596	1.609725952	0	1.609725952	0
211	1160400	-34.006667	22.350278	145	-34.006667	22.350278	145.6675	0.460341881	0	0.460341881	1
212	1160403	-34.02861111	22.22194444	131	-34.02861111	22.22277777	130.20457	0.607194973	0.92	2.447194973	0
213	1160405	-33.950833	22.422222	34	-33.950833	22.422222	33.809547	0.560154634	0	0.560154634	0
214	1160415	-34.103056	22.071389	144	-34.10222267	22.071389	142.13937	1.292101542	0.92	3.132101542	0
215	1160417	-34.03166667	22.05277778	215	-34.03166667	22.05277778	216.54503	0.718617994	0	0.718617994	0
216	1160419	-34.03944444	22.13222222	198	-34.03944444	22.13222222	197.11131	0.448831886	0	0.448831886	0
217	1160420	-33.970833	22.547222	47	-33.970833	22.547222	47.455208	0.968527287	0	0.968527287	0
218	1160425	-33.9125	22.707778	72	-33.91333333	22.707778	71.78825	0.294091966	0.92	2.134091966	0
219	1160427	-33.880556	22.837778	23	-33.880556	22.837778	22.665155	1.45584604	0	1.45584604	0
220	1160430	-33.890833	23.029167	135	-33.890833	23.029167	134.11212	0.657687717	0	0.657687717	0
221	1160435	-33.991111	23.041944	94	-33.991111	23.04111067	90.82466	3.378019942	0.92	5.218019942	0
222	1160440	-33.938333	23.367222	764	-33.938333	23.36638867	761.6237	0.311031641	0.92	2.151031641	0
223	1160441	-33.803333	23.135278	162	-33.803333	23.13611133	161.96906	0.019101743	0.92	1.859101743	0
224	1160443	-33.94583333	23.3675	761	-33.945	23.3675	762.6552	0.217504915	0.92	2.057504915	0
225	1160450	-33.737778	23.304167	53	-33.737778	23.304167	51.975582	1.932863919	0	1.932863919	1
226	1160453	-33.79194444	24.03277778	1627	-33.79194444	24.03111111	1631.7303	0.290740423	1.84	3.970740423	0
227	1160455	-33.955556	23.638333	56	-33.955556	23.638333	56.69193	1.235587256	0	1.235587256	0
228	1160456	-33.98194444	24.02097222	25.6	-33.98194444	24.02097222	26.08637	1.899884641	0	1.899884641	0
229	1160457	-33.865556	23.835556	21	-33.865556	23.835556	20.501856	2.372114999	0	2.372114999	0
230	1160459	-34.09663889	24.43911111	134	-34.09663889	24.43911111	134.28442	0.212256588	0	0.212256588	0
231	1160460	-33.730833	24.617778	29571	-33.730833	24.617778	29460.947	0.372164399	0	0.372164399	0
232	1160470	-33.203611	24.234167	1296	-33.203611	24.23500033	1289.8539	0.474237513	0.92	2.314237513	0
233	1160480	-32.237778	23.050556	3943	-32.23861133	23.05138933	3941.2976	0.043175059	1.301076477	2.645328014	0
234	1160481	-32.068889	23.0075	3672	-32.068889	23.00833333	3672.7268	0.019793209	0.92	1.859793209	0
235	1160485	-33.77191667	25.38638889	912	-33.77275	25.38638889	910.6409	0.149020814	0.92	1.989020814	0
236	1160487	-33.797222	25.308889	394	-33.797222	25.308889	394.1906	0.048378881	0	0.048378881	0
237	1160490	-33.000278	25.164167	1742	-33.000278	25.164167	1741.6061	0.02261314	0	0.02261314	0
238	1160493	-33.09930556	25.0115	13422	-33.09930556	25.0115	13415.5	0.048427954	0	0.048427954	0
239	1160495	-33.1075	25.228333	542	-33.10833333	25.228333	533.32745	1.600100809	0.92	3.440100809	0
240	1160500	-33.329167	26.0775	1479	-33.329167	26.07666667	1474.4342	0.30870831	0.92	2.14870831	1
241	1160505	-33.55230556	26.60180556	588	-33.55230556	26.60263889	585.18195	0.479260918	0.92	2.319260918	0
242	1160510	-33.098056	26.444722	23067	-33.098056	26.444722	23026.95	0.173628045	0	0.173628045	1
243	1160511	-31.903056	25.481667	9545	-31.903056	25.481667	9095.233	4.712064972	0	4.712064972	0
244	1160512	-31.904167	25.430556	1717	-31.904167	25.430556	1723.2197	0.36224383	0	0.36224383	0
245	1160520	-31.57	25.543889	1565	-31.57	25.54305567	1570.1244	0.327437038	0.92	2.167437038	0
246	1160523	-31.7775	25.3175	2445	-31.7775	25.3175	2455.0032	0.409127764	0	0.409127764	0
247	1160525	-32.385556	25.520556	878	-32.50888933	25.42972267	621.80096	29.17984461	169.1024068	71.45544632	0
248	1160527	-32.785	25.61483333	1512	-32.785	25.61483333	1532.7352	1.371377612	0	1.371377612	0
249	1160528	-32.08583333	25.57583333	10830	-32.08666666	25.57583333	10847.944	0.165691006	0.92	2.005691006	0
250	1160529	-32.31419444	25.74111111	4742	-32.31419444	25.74111111	4726.973	0.316888559	0	0.316888559	0
251	1160530	-32.605833	25.884444	806	-32.605833	25.884444	808.7476	0.340895736	0	0.340895736	0
252	1160533	-33.02763889	25.89330556	19130	-33.02763889	25.89247223	19097.863	0.167991211	0.92	2.007991211	0
253	1160535	-31.968333	26.001111	1308	-31.968333	26.00027767	1302.7523	0.401198828	0.92	2.241198828	0
254	1160537	-32.76144444	26.62886111	1023	-32.76144444	26.62802778	1043.7603	2.029350333	0.92	3.869350333	0
255	1160540	-33.355278	26.861389	47	-33.35444467	26.861389	46.50669	1.049593662	0.92	2.889593662	0
