no	GRDC_No	lat	lon	areaGRDC	newlat	newlon	newarea	UPS_Indicator	dist_Indicator	Indicator	shapefile
1	1104150	36.02	0.27	43750	36.02	0.271666667	46156.777	5.501205357	1.84	9.181205357	1
2	1104200	35.5	0.68	6635	35.4975	0.68	5456.084	17.76813889	2.76	23.28813889	1
3	1104300	35.87	1.12	2398	35.88102	1.10408	1901.2666	20.71448701	0.92	22.55448701	1
4	1104450	36.67	2.82	1912	36.6675	2.82	1886.5474	1.331204849	2.76	6.851204849	1
5	1104480	36.65	3.42	829	36.64916667	3.4175	93.58389	88.71123126	1002.909295	339.4385551	1
6	1104500	36.62	3.58	4149	36.62083333	3.580833333	3605.8704	13.09061554	1.301076477	15.69276849	1
7	1104530	36.8	3.87	2501	36.80166667	3.870833333	2366.2964	5.385990135	2.057182539	9.500355214	1
8	1104600	36.42	4.6	4309	36.41583333	4.599166667	4043.2185	6.168055097	4.691097953	15.550251	1
9	1104700	36.23	6.3	1220	36.24083333	6.3	1219.8531	0.012036933	11.96	23.93203693	1
10	1104800	36.45	7.72	552	36.45166667	7.718333333	549.723	0.412495931	2.602152955	5.616801841	1
11	1107700	35.15	-1.45	7245	35.145	-1.448333333	7419.068	2.402593114	5.818590895	14.0397749	1
12	1107800	35.07	-1.22	1118	35.075	-1.22	1244.6622	11.32935881	5.52	22.36935881	1
13	1112100	14.45	-11.28	157400	14.4032	-11.371	146281	20	200	420	1
14	1112110	14.45	-11.28	25000	14.5149	-11.21088	95631	100	100	200	0
15	1112200	13.23	-11.38	15000	13.1925	-11.49916667	14597.981	2.680123698	137.9202436	37.1601846	1
16	1112300	13.83	-11.13	127000	13.85833333	-11.06	143081.36	12.6624877	83.37047919	54.34772729	1
17	1112320	13.36	-9.23	84400	13.6017	-10.06487	1.065099	99.99873803	1000	349.998738	1
18	1112330	13.34	-9.53	58000	13.571471	-9.886333	0.016643295	99.9999713	1000	349.9999713	0
19	1112340	13.45	-9.88	16000	13.455	-9.885	16517.824	3.236401367	7.806458864	18.8493191	1
20	1112350	13.14	-10.48	33000	13.19583333	-10.45416667	28179.217	14.60843395	67.91818608	48.56752699	1
21	1112400	12.31	-11.23	9300	12.53922	-11.38933	5222.29	43.84634367	140.8111018	79.04911912	1
22	1112480	12.15	-10.2	15500	11.90441	-10.63965	2192.253	85.85643271	1047.359899	347.6964074	1
23	1112500	12.33	-10.16	21700	12.44495	-10.30673	0.02506362	99.9998845	1000	349.9998845	1
24	1134020	11.15	-8.55	23300	11.15083333	-8.554166667	23585.633	1.225891899	4.691097953	10.6080878	1
25	1134030	11.6833	-8.6667	71750	11.68746667	-8.665033333	70764.42	1.373628049	4.954351623	11.28233129	1
26	1134040	11.97	-8.23	35300	11.96916667	-8.231666667	33102.176	6.226130931	2.057182539	10.34049601	1
27	1134050	11.58	-8.17	34200	11.58	-8.178333333	31901.893	6.719612345	9.2	25.11961234	1
28	1134060	11.13	-8.2	4100	11.13666667	-8.195	4310.9727	5.145674543	9.2	23.54567454	1
