No	GRDC_No	lat	lon	newlat	newlon	GRDCarea	area	UPS_Indicator	dist_Indicator	Indicator
1	1104150	36.02	0.27	36.02	0.27166666666666667	43750.0	46156.777	5.5012053571428465	1.84	9.181205357142847
2	1104200	35.5	0.68	35.4975	0.68	6635.0	5456.084	17.768138894122075	2.7600000000000002	23.288138894122074
3	1104300	35.87	1.12	35.869166666666665	1.12	2398.0	1901.2666	20.714487007402006	0.92	22.554487007402006
4	1104450	36.67	2.82	36.667500000000004	2.82	1912.0	1886.5474	1.3312048493070106	2.7600000000000002	6.8512048493070115
5	1104480	36.65	3.42	36.649166666666666	3.4175	829.0	93.58389	88.7112312639004	1002.9092954473549	339.43855512573913
6	1104500	36.62	3.58	36.62083333333333	3.5808333333333335	4149.0	3605.8704	13.090615538006144	1.3010764773832475	15.69276849277264
7	1104530	36.8	3.87	36.80166666666666	3.8708333333333336	2501.0	2366.2964	5.385990135195917	2.0571825392998067	9.50035521379553
8	1104600	36.42	4.6	36.41583333333333	4.599166666666666	4309.0	4043.2185	6.168055097252845	4.691097952505362	15.550251002263568
9	1104700	36.23	6.3	36.24083333333333	6.3	1220.0	1219.8531	0.012036933273562589	11.96	23.932036933273565
10	1104800	36.45	7.72	36.45166666666667	7.718333333333333	552.0	549.723	0.41249593098958703	2.602152954766495	5.616801840522577
11	1107700	35.15	-1.45	35.144999999999996	-1.4483333333333333	7245.0	7419.068	2.4025931137853673	5.818590894709819	14.039774903205004
12	1107800	35.07	-1.22	35.075	-1.22	1118.0	1244.6622	11.329358805484112	5.5200000000000005	22.36935880548411
13	1112100	14.45	-11.28	14.435833333333333	-11.28	157400.0	97294.7	38.186338548284624	15.64	46.006338548284624
14	1112110	14.31	-11.13	14.31	-11.13	25000.0	0.008287707	99.99996684917063	1000.0	349.9999668491706
15	1112200	13.23	-11.38	13.1925	-11.499166666666667	15000.0	14597.981	2.68012369791667	137.9202436192744	37.16018460273527
16	1112300	13.83	-11.13	13.858333333333334	-11.06	127000.0	143081.36	12.662487696850388	83.37047918777965	54.34772729074021
17	1112320	13.36	-9.23	13.36	-9.23	84400.0	1.065099	99.99873803435909	1000.0	349.9987380343591
18	1112330	13.34	-9.53	13.34	-9.53	58000.0	0.016643295	99.99997130466369	1000.0	349.9999713046637
19	1112340	13.45	-9.88	13.455	-9.885000000000002	16000.0	16517.824	3.2364013671875025	7.8064588642994845	18.84931909578647
20	1112350	13.14	-10.48	13.195833333333335	-10.454166666666667	33000.0	28179.217	14.608433948863642	67.91818607707364	48.56752698740046
21	1112400	12.31	-11.23	12.435833333333333	-11.209166666666667	9300.0	5222.29	43.846343665994624	140.81110183504708	79.0491191247564
22	1112480	12.15	-10.2	12.1875	-10.179166666666665	15500.0	2192.253	85.85643271169354	1047.3598986485401	347.6964073738286
23	1112500	12.33	-10.16	12.33	-10.16	21700.0	0.02506362	99.99988449944294	1000.0	349.99988449944294
24	1134020	11.15	-8.55	11.150833333333333	-8.554166666666667	23300.0	23585.633	1.22589189914164	4.691097952505362	10.608087804152364
25	1134030	11.6833	-8.6667	11.687466666666666	-8.665033333333334	71750.0	70764.42	1.3736280487804842	4.954351622563744	11.282331293907971
26	1134040	11.97	-8.23	11.969166666666668	-8.231666666666667	35300.0	33102.176	6.2261309313031195	2.0571825392998067	10.340496009902733
27	1134050	11.58	-8.17	11.58	-8.178333333333333	34200.0	31901.893	6.719612344663739	9.200000000000001	25.119612344663743
28	1134060	11.13	-8.2	11.136666666666667	-8.194999999999999	4100.0	4310.9727	5.145674542682932	9.200000000000001	23.545674542682935
29	1134080	10.8	-7.67	10.797500000000001	-7.6691666666666665	7900.0	8420.525	6.588928995253163	2.9092954473549093	12.40751988996298
30	1134100	12.8667	-7.55	12.865033333333333	-7.548333333333333	120000.0	117926.54	1.7278841145833335	2.602152954766495	6.9321900241163235
31	1134110	11.4	-7.45	11.3975	-7.45	15700.0	14911.484	5.022392515923569	2.7600000000000002	10.54239251592357
32	1134150	11.07	-6.85	11.075000000000001	-6.845	3050.0	3104.6797	1.7927766393442512	7.8064588642994845	17.40569436794322
33	1134200	12.52	-6.8	12.520833333333332	-6.8	32500.0	31551.213	2.919344951923075	0.92	4.759344951923075
34	1134220	11.42	-6.57	11.418333333333333	-6.570833333333334	31800.0	31041.777	2.384347975628931	2.0571825392998067	6.498713054228544
35	1134250	13.7167	-6.05	13.718366666666666	-6.05	137000.0	131760.19	3.8246806569343095	1.84	7.50468065693431
36	1134300	13.2167	-5.9	13.2142	-5.898333333333333	101600.0	99879.13	1.693766916830708	3.3171071734268702	8.327981263684448
37	1134310	12.02	-6.68	12.02	-6.68	14300.0	0.016728207	99.99988301952818	1000.0	349.99988301952817
38	1134320	12.02	-6.68	12.02	-6.68	14515.780874983662	0.016728207	99.99988475847347	1000.0	349.99988475847346
