No	GRDC_No	similarity	areaGRDC	area	lat	lon	area5min	lat5min	lon5move	lat30move	lon5min	indloc	upsloc	ind	indups	ups1	indshape	shapeloc	ind	indups	ups2	indshape
0	1104150	 0.937	  43750	  46157	36.0200	0.2717	    45835	  36.020	 0.355	  36.04	 0.37	13	9	 0.078	 0.957	  45697	 0.934	13	 0.078	 0.955	  45835	 0.937
1	1104200	 0.804	   6635	   5456	35.4975	0.6800	     5896	  35.581	 0.597	  35.54	 0.62	16	21	 0.233	 0.931	   6175	 0.777	12	 0.236	 0.804	   5336	 0.868
2	1104300	 0.805	   2398	   2177	35.8810	1.1041	     2164	  35.881	 1.104	  35.87	 1.12	12	11	 0.255	 0.989	   2372	 0.745	12	 0.219	 0.902	   2164	 0.805
3	1104450	 0.791	   1912	   1887	36.6675	2.8200	     2004	  36.584	 2.820	  36.62	 2.79	7	7	 0.214	 0.954	   2004	 0.791	7	 0.214	 0.954	   2004	 0.791
4	1104500	 0.838	   4149	   3606	36.6208	3.5808	     3808	  36.621	 3.581	  36.62	 3.54	12	19	 0.208	 0.984	   4084	 0.792	7	 0.185	 0.901	   3739	 0.844
5	1104530	 0.814	   2501	   2366	36.8017	3.8708	     2550	  36.802	 3.871	  36.79	 3.87	12	12	 0.187	 0.981	   2550	 0.814	12	 0.187	 0.981	   2550	 0.814
6	1104600	 0.871	   4309	   4043	36.4158	4.5992	     3951	  36.499	 4.599	  36.46	 4.62	17	11	 0.175	 0.981	   4228	 0.826	17	 0.154	 0.917	   3951	 0.871
7	1104700	 0.737	   1220	   1220	36.2408	6.3000	     1387	  36.241	 6.300	  36.21	 6.29	12	11	 0.304	 0.910	   1110	 0.710	12	 0.289	 0.880	   1387	 0.737
9	1107700	 0.888	   7245	   7419	35.1450	-1.4483	     7475	  35.145	-1.448	  35.12	-1.46	12	12	 0.116	 0.969	   7475	 0.888	12	 0.116	 0.969	   7475	 0.888
10	1107800	 0.755	   1118	   1245	35.0750	-1.2200	     1196	  35.158	-1.137	  35.12	-1.12	18	18	 0.253	 0.934	   1196	 0.755	17	 0.259	 0.883	   1267	 0.769
11	1112100	 0.955	 157400	 146281	14.4032	-11.3710	   146538	  14.403	-11.371	  14.37	-11.37	12	12	 0.082	 0.931	 146538	 0.955	12	 0.082	 0.931	 146538	 0.955
12	1112200	 0.922	  15000	  14598	13.1925	-11.4992	    14785	  13.109	-11.499	  13.12	-11.46	7	11	 0.087	 0.997	  14952	 0.913	7	 0.079	 0.986	  14785	 0.922
13	1112300	 0.949	 127000	 143081	13.8583	-11.0600	   142303	  13.775	-10.893	  13.79	-10.87	9	9	 0.119	 0.892	 142303	 0.949	12	 0.123	 0.885	 143467	 0.956
14	1112320	 0.949	  84400	  89066	13.6017	-10.0649	    89477	  13.518	-9.898	  13.54	-9.87	9	9	 0.076	 0.943	  89477	 0.949	8	 0.077	 0.942	  89644	 0.950
15	1112330	 0.940	  58000	  72161	13.5715	-9.8863	    71604	  13.738	-9.720	  13.71	-9.71	24	24	 0.199	 0.810	  71604	 0.940	17	 0.207	 0.799	  72602	 0.950
16	1112340	 0.901	  16000	  16518	13.4550	-9.8850	    16543	  13.372	-9.885	  13.37	-9.87	7	3	 0.124	 0.997	  16044	 0.876	7	 0.105	 0.967	  16543	 0.901
17	1112350	 0.899	  33000	  28179	13.1958	-10.4542	    28302	  13.279	-10.621	  13.29	-10.62	15	15	 0.175	 0.858	  28302	 0.899	13	 0.179	 0.848	  27969	 0.907
18	1112400	 0.900	   9300	   8220	12.5392	-11.3893	     8444	  12.539	-11.389	  12.54	-11.37	12	12	 0.136	 0.908	   8444	 0.900	7	 0.141	 0.899	   8361	 0.902
19	1112480	 0.906	  15500	  15667	11.9044	-10.6396	    15524	  11.904	-10.640	  11.87	-10.62	12	12	 0.094	 0.998	  15524	 0.906	12	 0.094	 0.998	  15524	 0.906
