No	GRDC_No	similarity	areaGRDC	area	lat	lon	area5min	lat5min	lon5move	lat30move	lon5min	indloc	upsloc	ind	indups	ups1	indshape	shapeloc	ind	indups	ups2	indshape
20	1112500	 0.898	  21700	  21921	12.4450	-10.3067	    21879	  12.445	-10.307	  12.46	-10.29	12	6	 0.105	 0.999	  21712	 0.895	12	 0.102	 0.992	  21879	 0.898
21	1134020	 0.919	  23300	  23586	11.1508	-8.5542	    23600	  11.151	-8.638	  11.12	-8.62	11	0	 0.086	 0.998	  23264	 0.914	12	 0.083	 0.984	  23684	 0.919
22	1134030	 0.949	  71750	  70764	11.6875	-8.6650	    70147	  11.604	-8.748	  11.62	-8.71	6	18	 0.060	 0.989	  70985	 0.941	6	 0.055	 0.978	  70147	 0.949
23	1134040	 0.924	  35300	  33102	11.9692	-8.2317	    33166	  11.969	-8.315	  11.96	-8.29	11	11	 0.097	 0.940	  33166	 0.924	12	 0.101	 0.930	  32831	 0.928
24	1134050	 0.926	  34200	  31902	11.5800	-8.1783	    31994	  11.663	-8.178	  11.62	-8.21	17	22	 0.098	 0.943	  32246	 0.920	12	 0.100	 0.931	  31827	 0.928
25	1134060	 0.854	   4100	   4311	11.1367	-8.1950	     4285	  11.137	-8.195	  11.12	-8.21	12	12	 0.152	 0.957	   4285	 0.854	12	 0.152	 0.957	   4285	 0.854
26	1134080	 0.881	   7900	   8421	10.7975	-7.6692	     8504	  10.714	-7.669	  10.71	-7.71	7	6	 0.170	 0.998	   7916	 0.830	12	 0.145	 0.911	   8672	 0.886
27	1134100	 0.959	 120000	 117927	12.8650	-7.5483	   117453	  12.865	-7.548	  12.87	-7.54	12	19	 0.049	 0.984	 118037	 0.954	12	 0.046	 0.979	 117453	 0.959
28	1134110	 0.912	  15700	  14911	11.3975	-7.4500	    15141	  11.398	-7.450	  11.37	-7.46	12	24	 0.108	 0.986	  15476	 0.893	12	 0.095	 0.964	  15141	 0.912
29	1134150	 0.830	   3050	   3105	11.0750	-6.8450	     3109	  11.075	-6.845	  11.04	-6.87	12	7	 0.191	 0.992	   3025	 0.809	12	 0.171	 0.981	   3109	 0.830
30	1134200	 0.928	  32500	  31551	12.5208	-6.8000	    31878	  12.521	-6.883	  12.54	-6.87	11	13	 0.082	 0.996	  32379	 0.918	11	 0.074	 0.981	  31878	 0.928
31	1134220	 0.941	  31800	  31042	11.4183	-6.5708	    30440	  11.335	-6.571	  11.37	-6.54	7	17	 0.090	 0.998	  31866	 0.910	7	 0.073	 0.957	  30440	 0.941
32	1134250	 0.954	 137000	 131760	13.7184	-6.0500	   130780	  13.718	-6.050	  13.71	-6.04	12	14	 0.064	 0.956	 130946	 0.953	6	 0.065	 0.954	 130697	 0.955
33	1134300	 0.961	 101600	  99879	13.2142	-5.8983	    99966	  13.214	-5.982	  13.21	-5.96	11	13	 0.053	 1.000	 101633	 0.947	11	 0.043	 0.984	  99966	 0.961
34	1134310	 0.907	  14300	  14355	12.0048	-5.6585	    14321	  11.921	-5.658	  11.96	-5.62	7	7	 0.093	 0.999	  14321	 0.907	7	 0.093	 0.999	  14321	 0.907
35	1134350	 0.841	   3685	   3676	11.6792	-5.5867	     4193	  11.679	-5.587	  11.71	-5.62	12	8	 0.206	 0.999	   3690	 0.794	12	 0.200	 0.879	   4193	 0.841
36	1134400	 0.951	 141000	 134221	13.9575	-5.3667	   133603	  14.041	-5.200	  14.04	-5.21	19	19	 0.072	 0.948	 133603	 0.951	11	 0.073	 0.945	 133271	 0.952
37	1134450	 0.965	 116000	 111680	13.3808	-4.9200	   112226	  13.381	-4.920	  13.37	-4.96	12	19	 0.098	 0.969	 119730	 0.907	11	 0.049	 0.967	 112143	 0.965
38	1134460	 0.944	 143300	 136982	14.1475	-4.9825	   136586	  14.148	-4.982	  14.12	-4.96	12	19	 0.074	 0.955	 136834	 0.942	11	 0.073	 0.953	 136503	 0.944
39	1134480	 0.965	 129000	 130178	14.0208	-4.2450	   130454	  14.021	-4.245	  14.04	-4.21	12	5	 0.040	 0.995	 129707	 0.961	12	 0.037	 0.989	 130454	 0.965
40	1134500	 0.969	 281600	 278331	14.5417	-4.2083	   278082	  14.625	-4.208	  14.62	-4.21	17	23	 0.034	 0.989	 278496	 0.968	17	 0.034	 0.988	 278082	 0.969
41	1134505	 0.964	 132254	 132254	14.5175	-4.1992	   132610	  14.434	-4.199	  14.46	-4.21	7	2	 0.039	 0.999	 132113	 0.961	7	 0.036	 0.997	 132610	 0.964
42	1134600	 0.971	 302515	 311494	15.3942	-4.2358	   310562	  15.311	-4.236	  15.29	-4.21	7	9	 0.065	 0.989	 299146	 0.936	12	 0.039	 0.974	 310727	 0.971
43	1134620	 0.767	   2348	   2348	16.4200	-3.6558	     2215	  16.337	-3.656	  16.37	-3.62	7	11	 0.268	 0.987	   2379	 0.732	12	 0.246	 0.908	   2133	 0.772
44	1134630	 0.971	 342087	 342087	16.1183	-3.7475	   341958	  16.118	-3.748	  16.12	-3.71	12	12	 0.029	 1.000	 341958	 0.971	12	 0.029	 1.000	 341958	 0.971
46	1134700	 0.970	 340000	 345826	16.2667	-3.3833	   345493	  16.183	-3.467	  16.21	-3.46	6	0	 0.038	 0.993	 342533	 0.963	7	 0.034	 0.984	 345575	 0.970
47	1134730	 0.967	 342000	 348700	16.6549	-3.0300	   347464	  16.572	-3.113	  16.54	-3.12	6	0	 0.038	 0.988	 346068	 0.964	12	 0.038	 0.980	 349022	 0.968
48	1134850	 0.962	 348000	 375409	16.9367	-0.5867	   373619	  17.020	-0.753	  17.04	-0.79	15	15	 0.078	 0.931	 373619	 0.962	12	 0.080	 0.928	 375092	 0.966
49	1134900	 0.965	 566000	 489271	15.6659	0.4967	   490348	  15.499	 0.663	  15.46	 0.62	4	4	 0.138	 0.866	 490348	 0.965	17	 0.140	 0.864	 489276	 0.967
50	1147010	 0.989	3475000	3605676	-4.2867	15.2933	  3597405	  -4.120	15.460	  -4.12	15.46	24	24	 0.036	 0.966	3597405	 0.989	12	 0.037	 0.964	3606265	 0.991
51	1147011	 0.981	 948500	 931904	-0.3500	25.4525	   931345	  -0.267	25.453	  -0.29	25.46	17	23	 0.026	 0.982	 931687	 0.981	12	 0.026	 0.982	 931259	 0.981
52	1147012	 0.978	 810440	 784993	-2.9542	25.9283	   784348	  -2.788	25.845	  -2.79	25.87	21	21	 0.039	 0.968	 784348	 0.978	12	 0.039	 0.967	 784007	 0.978
53	1147013	 0.990	3747320	3605702	-4.2909	15.2785	  3612918	  -4.458	15.112	  -4.46	15.12	0	0	 0.037	 0.964	3612918	 0.990	12	 0.039	 0.962	3606265	 0.991
54	1150200	 0.986	 737640	 744477	-3.2158	17.3642	   742810	  -3.216	17.364	  -3.21	17.37	12	12	 0.015	 0.993	 742810	 0.986	12	 0.015	 0.993	 742810	 0.986
55	1150201	 0.971	 232560	 240172	-4.3383	20.5717	   239078	  -4.422	20.738	  -4.46	20.71	9	4	 0.040	 0.973	 238993	 0.971	12	 0.040	 0.971	 239419	 0.972
56	1159100	 0.970	 866486	 788290	-28.7594	17.7214	   790037	 -28.676	17.555	 -28.71	17.54	15	15	 0.093	 0.912	 790037	 0.970	18	 0.095	 0.909	 787858	 0.972
57	1159103	 0.969	 859920	 766719	-28.9642	19.1519	   769122	 -28.881	18.985	 -28.87	18.96	15	15	 0.110	 0.894	 769122	 0.969	13	 0.112	 0.891	 766500	 0.972
58	1159105	 0.972	 985370	 884454	-28.0767	16.8983	   885376	 -28.243	16.815	 -28.21	16.79	1	1	 0.105	 0.899	 885376	 0.972	13	 0.107	 0.897	 883786	 0.973
59	1159110	 0.709	   1502	   1495	-31.8067	20.3578	     1452	 -31.890	20.358	 -31.87	20.37	7	12	 0.296	 0.985	   1525	 0.705	7	 0.293	 0.967	   1452	 0.709
60	1159120	 0.754	   1679	   1682	-31.8169	20.5781	     1670	 -31.900	20.578	 -31.87	20.54	7	7	 0.246	 0.995	   1670	 0.754	7	 0.246	 0.995	   1670	 0.754
61	1159125	 0.903	   8938	   8932	-31.4372	20.4742	     9087	 -31.437	20.558	 -31.46	20.54	13	8	 0.105	 0.992	   9014	 0.895	13	 0.098	 0.984	   9087	 0.903
62	1159130	 0.935	  40073	  37820	-30.4744	20.5183	    38370	 -30.474	20.518	 -30.46	20.54	12	23	 0.082	 0.969	  38814	 0.924	12	 0.078	 0.957	  38370	 0.935
63	1159131	 0.903	  13116	  13141	-31.3661	21.3231	    13010	 -31.366	21.406	 -31.37	21.37	13	13	 0.098	 0.992	  13010	 0.903	13	 0.098	 0.992	  13010	 0.903
64	1159290	 0.972	 366070	 359056	-28.7697	20.7241	   359978	 -28.770	20.724	 -28.79	20.71	12	11	 0.033	 0.984	 360128	 0.972	12	 0.032	 0.983	 359978	 0.972
65	1159300	 0.971	 364560	 354208	-28.4644	21.2425	   355843	 -28.464	21.242	 -28.46	21.21	12	0	 0.038	 0.978	 356671	 0.968	13	 0.038	 0.975	 355617	 0.971
66	1159301	 0.973	 339310	 330300	-29.6558	22.7450	   330882	 -29.656	22.828	 -29.62	22.79	13	20	 0.037	 0.981	 332748	 0.968	13	 0.037	 0.975	 330882	 0.973
67	1159302	 0.952	  99316	  99215	-29.1619	23.6958	   100342	 -29.245	23.696	 -29.21	23.71	7	4	 0.059	 0.995	  98849	 0.941	7	 0.049	 0.990	 100342	 0.952
68	1159303	 0.954	  92346	  91668	-29.8131	24.4383	    92661	 -29.813	24.438	 -29.79	24.46	12	8	 0.047	 0.998	  92512	 0.953	12	 0.046	 0.997	  92661	 0.954
69	1159304	 0.972	 296170	 290845	-29.1820	23.5751	   291228	 -29.099	23.658	 -29.12	23.62	18	10	 0.040	 0.997	 295204	 0.961	18	 0.032	 0.983	 291228	 0.972
70	1159305	 0.898	   8266	   8195	-30.5347	24.9625	     8220	 -30.618	24.879	 -30.62	24.87	6	6	 0.102	 0.994	   8220	 0.898	6	 0.102	 0.994	   8220	 0.898
72	1159320	 0.766	   2381	   2359	-29.6572	25.9728	     2531	 -29.657	25.973	 -29.62	25.96	12	12	 0.241	 0.941	   2531	 0.766	12	 0.241	 0.941	   2531	 0.766
75	1159330	 0.921	  31233	  28516	-29.0417	24.5992	    28709	 -29.042	24.433	 -29.04	24.46	10	10	 0.113	 0.919	  28709	 0.921	12	 0.114	 0.910	  28410	 0.930
76	1159333	 0.826	   1650	   1637	-29.1608	26.5722	     1569	 -29.244	26.656	 -29.21	26.62	8	8	 0.180	 0.951	   1569	 0.826	8	 0.180	 0.951	   1569	 0.826
77	1159335	 0.900	  17313	  14982	-29.0294	24.6383	    15218	 -29.029	24.722	 -29.04	24.71	13	13	 0.157	 0.879	  15218	 0.900	13	 0.157	 0.879	  15218	 0.900
78	1159337	 0.865	   4542	   4544	-28.9486	26.3203	     4567	 -28.949	26.320	 -28.96	26.29	12	12	 0.135	 0.995	   4567	 0.865	12	 0.135	 0.995	   4567	 0.865
79	1159400	 0.882	  11044	  10701	-27.5733	24.7458	    10487	 -27.573	24.829	 -27.54	24.79	13	13	 0.129	 0.950	  10487	 0.882	13	 0.129	 0.950	  10487	 0.882
80	1159403	 0.932	  23900	  24009	-27.9024	24.6151	    23529	 -27.902	24.615	 -27.87	24.62	12	7	 0.078	 0.997	  23984	 0.922	12	 0.070	 0.984	  23529	 0.932
81	1159405	 0.933	  30810	  30670	-28.3865	24.2979	    30041	 -28.387	24.381	 -28.37	24.37	13	13	 0.072	 0.975	  30041	 0.933	13	 0.072	 0.975	  30041	 0.933
82	1159410	 0.923	  17754	  17914	-27.8411	25.9044	    17876	 -27.841	25.904	 -27.87	25.87	12	13	 0.079	 0.998	  17725	 0.921	12	 0.077	 0.993	  17876	 0.923
83	1159413	 0.916	  16153	  16032	-27.9350	26.1244	    15983	 -27.935	26.124	 -27.96	26.12	12	12	 0.085	 0.990	  15983	 0.916	8	 0.085	 0.985	  15908	 0.916
84	1159415	 0.869	   6994	   6951	-28.1444	26.4172	     7146	 -28.144	26.417	 -28.12	26.46	12	7	 0.133	 1.000	   6995	 0.867	12	 0.133	 0.979	   7146	 0.869
85	1159417	 0.872	   7092	   7046	-28.1172	26.7192	     6948	 -28.117	26.719	 -28.12	26.71	12	11	 0.154	 0.988	   7175	 0.846	12	 0.130	 0.980	   6948	 0.872
87	1159450	 0.952	 157830	 155137	-28.7115	24.0729	   154741	 -28.628	24.073	 -28.62	24.04	17	1	 0.059	 0.993	 156698	 0.942	17	 0.052	 0.980	 154741	 0.952
88	1159490	 0.942	 121220	 119067	-28.5171	24.6007	   118968	 -28.434	24.601	 -28.46	24.62	17	5	 0.065	 0.989	 119947	 0.936	17	 0.060	 0.981	 118968	 0.942
89	1159500	 0.961	 120982	 119057	-28.4989	24.6039	   118968	 -28.499	24.604	 -28.46	24.62	12	0	 0.047	 0.991	 119947	 0.954	12	 0.043	 0.983	 118968	 0.961
90	1159510	 0.856	   7801	   7748	-27.3983	26.6131	     7811	 -27.398	26.613	 -27.37	26.62	12	12	 0.144	 0.999	   7811	 0.856	12	 0.144	 0.999	   7811	 0.856
91	1159511	 0.855	   7794	   7742	-27.3997	26.6256	     7811	 -27.400	26.626	 -27.37	26.62	12	12	 0.145	 0.998	   7811	 0.855	12	 0.145	 0.998	   7811	 0.855
93	1159513	 0.818	   3289	   3537	-27.6714	27.2369	     3485	 -27.588	27.320	 -27.62	27.29	18	14	 0.217	 0.990	   3257	 0.783	18	 0.191	 0.944	   3485	 0.818
95	1159525	 0.861	   5758	   5732	-27.0454	27.0038	     5938	 -27.045	27.004	 -27.04	27.04	12	22	 1.000	 1.000	   5759	 0.000	12	 0.142	 0.970	   5938	 0.861
97	1159535	 0.962	  79903	  80185	-27.3897	26.4647	    80691	 -27.390	26.548	 -27.37	26.54	13	13	 0.039	 0.990	  80691	 0.962	13	 0.039	 0.990	  80691	 0.962
98	1159540	 0.700	   1895	   1412	-27.5606	26.2325	     1215	 -27.644	26.233	 -27.62	26.21	7	10	 1.049	 0.684	   1297	 0.000	13	 0.486	 0.601	   1139	 0.723
99	1159545	 0.952	  63437	  63649	-27.0101	26.6989	    64294	 -27.010	26.699	 -27.04	26.71	12	18	 0.051	 0.991	  63989	 0.950	12	 0.049	 0.987	  64294	 0.952
101	1159548	 0.823	   3595	   3817	-26.6443	27.0903	     3920	 -26.644	27.090	 -26.62	27.12	12	17	 0.206	 0.995	   3614	 0.794	12	 0.196	 0.917	   3920	 0.823
102	1159549	 0.767	   1511	   1518	-26.3702	27.2481	     1537	 -26.370	27.331	 -26.37	27.29	13	13	 0.234	 0.983	   1537	 0.767	13	 0.234	 0.983	   1537	 0.767
103	1159550	 0.949	  49120	  49237	-26.9706	27.2105	    49464	 -26.887	27.294	 -26.87	27.29	18	14	 0.055	 0.998	  49235	 0.945	18	 0.052	 0.993	  49464	 0.949
104	1159555	 0.950	  47222	  47314	-26.7374	27.5920	    47477	 -26.737	27.592	 -26.71	27.62	12	8	 0.051	 0.996	  47401	 0.949	12	 0.050	 0.995	  47477	 0.950
105	1159560	 0.767	   1121	   1134	-26.7287	27.7172	     1150	 -26.729	27.717	 -26.71	27.71	12	12	 0.234	 0.974	   1150	 0.767	12	 0.234	 0.974	   1150	 0.767
106	1159570	 0.770	   2205	   2223	-26.6199	27.9797	     2227	 -26.620	27.980	 -26.62	27.96	12	12	 0.230	 0.990	   2227	 0.770	12	 0.230	 0.990	   2227	 0.770
107	1159580	 0.798	   3474	   3480	-26.6708	28.0304	     3529	 -26.671	28.114	 -26.71	28.12	13	13	 0.202	 0.984	   3529	 0.798	13	 0.202	 0.984	   3529	 0.798
108	1159600	 0.842	   2400	   2173	-31.0300	26.3308	     2199	 -31.030	26.331	 -31.04	26.29	12	12	 0.179	 0.916	   2199	 0.842	12	 0.179	 0.916	   2199	 0.842
109	1159601	 0.800	   2397	   2384	-31.0008	26.3531	     2199	 -31.001	26.270	 -31.04	26.29	11	11	 0.217	 0.917	   2199	 0.800	11	 0.217	 0.917	   2199	 0.800
110	1159650	 0.935	  37070	  36937	-30.6772	26.7156	    37093	 -30.594	26.799	 -30.62	26.79	18	18	 0.065	 0.999	  37093	 0.935	18	 0.065	 0.999	  37093	 0.935
111	1159651	 0.934	  24745	  24661	-30.3356	27.3583	    24726	 -30.252	27.358	 -30.29	27.37	17	17	 0.066	 0.999	  24726	 0.934	17	 0.066	 0.999	  24726	 0.934
112	1159653	 0.811	   2990	   2982	-30.1597	27.4014	     2903	 -30.160	27.401	 -30.12	27.37	12	7	 0.225	 0.980	   3051	 0.776	12	 0.191	 0.971	   2903	 0.811
113	1159655	 0.911	  10735	  10726	-30.0619	28.5098	    10908	 -30.062	28.510	 -30.04	28.54	12	13	 0.097	 0.998	  10759	 0.903	12	 0.091	 0.984	  10908	 0.911
114	1159660	 0.872	   8689	   8652	-30.8297	26.9206	     8822	 -30.913	26.921	 -30.87	26.96	7	8	 0.144	 0.990	   8601	 0.857	7	 0.129	 0.985	   8822	 0.872
116	1159673	 0.845	   3857	   3860	-28.8839	27.8903	     3910	 -28.884	27.974	 -28.87	27.96	13	13	 0.155	 0.987	   3910	 0.845	13	 0.155	 0.987	   3910	 0.845
117	1159675	 0.910	  12852	  12870	-29.6158	27.0656	    12969	 -29.616	27.149	 -29.62	27.12	13	18	 0.093	 0.997	  12895	 0.907	13	 0.091	 0.991	  12969	 0.910
118	1159800	 0.944	  38564	  38635	-26.8202	28.0633	    38812	 -26.904	28.147	 -26.87	28.12	8	4	 0.060	 0.998	  38506	 0.940	8	 0.056	 0.994	  38812	 0.944
119	1159805	 0.923	  15673	  15645	-27.2717	28.4911	    15520	 -27.272	28.491	 -27.29	28.46	12	12	 0.078	 0.990	  15520	 0.923	12	 0.078	 0.990	  15520	 0.923
120	1159810	 0.923	  15522	  15454	-27.2992	28.4956	    15292	 -27.299	28.579	 -27.29	28.54	13	12	 0.087	 1.000	  15520	 0.913	13	 0.078	 0.985	  15292	 0.923
121	1159811	 0.843	   4650	   4646	-27.4308	28.5264	     4543	 -27.514	28.526	 -27.54	28.54	7	12	 0.162	 0.990	   4695	 0.838	7	 0.158	 0.977	   4543	 0.843
122	1159813	 0.900	  10489	  10529	-27.3014	28.5856	    10445	 -27.301	28.586	 -27.29	28.62	12	12	 0.100	 0.996	  10445	 0.900	12	 0.100	 0.996	  10445	 0.900
123	1159815	 0.883	   7497	   7495	-27.8028	28.7675	     7558	 -27.803	28.767	 -27.79	28.79	12	12	 0.117	 0.992	   7558	 0.883	12	 0.117	 0.992	   7558	 0.883
129	1159880	 0.916	  15500	  15563	-27.0023	28.7661	    15727	 -27.002	28.766	 -27.04	28.79	12	13	 0.097	 1.000	  15498	 0.903	12	 0.085	 0.986	  15727	 0.916
130	1159890	 0.864	   4686	   4717	-26.8419	29.7234	     4671	 -26.842	29.807	 -26.87	29.79	13	13	 0.136	 0.997	   4671	 0.864	13	 0.136	 0.997	   4671	 0.864
131	1159900	 0.809	   4152	   4146	-27.1694	29.2322	     4412	 -27.169	29.316	 -27.21	29.29	13	8	 0.220	 0.992	   4183	 0.780	12	 0.204	 0.925	   4488	 0.810
132	1159910	 0.787	   2239	   2229	-26.8622	28.8844	     2374	 -26.862	28.884	 -26.87	28.87	12	12	 0.221	 0.943	   2374	 0.787	12	 0.221	 0.943	   2374	 0.787
137	1160102	 0.667	   2008	   2006	-34.0789	20.1442	     1991	 -34.079	20.144	 -34.04	20.12	12	12	 0.333	 0.991	   1991	 0.667	12	 0.333	 0.991	   1991	 0.667
141	1160200	 0.783	   2351	   2341	-30.8239	18.1175	     2289	 -30.824	18.201	 -30.79	18.21	13	13	 0.219	 0.974	   2289	 0.783	13	 0.219	 0.974	   2289	 0.783
145	1160235	 0.928	  24044	  23961	-31.8625	18.6856	    24210	 -31.863	18.686	 -31.87	18.71	12	13	 0.073	 0.996	  24138	 0.927	12	 0.073	 0.993	  24210	 0.928
150	1160256	 0.736	   1311	   1322	-33.7228	18.6167	     1358	 -33.723	18.617	 -33.71	18.62	12	12	 0.267	 0.965	   1358	 0.736	12	 0.267	 0.965	   1358	 0.736
155	1160266	 0.786	   2936	   2950	-33.1308	18.8628	     2865	 -33.131	18.863	 -33.12	18.87	12	12	 0.215	 0.976	   2865	 0.786	12	 0.215	 0.976	   2865	 0.786
163	1160302	 0.880	   9854	   9847	-34.0703	20.3900	    10200	 -34.070	20.390	 -34.04	20.37	12	11	 0.128	 0.987	   9987	 0.873	12	 0.125	 0.966	  10200	 0.880
164	1160303	 0.867	   6713	   6709	-33.8978	20.0117	     7001	 -33.898	19.928	 -33.87	19.96	11	11	 0.139	 0.959	   7001	 0.867	11	 0.139	 0.959	   7001	 0.867
165	1160304	 0.865	   4355	   4353	-33.8181	19.6933	     4576	 -33.818	19.610	 -33.79	19.62	11	10	 0.157	 0.982	   4433	 0.844	12	 0.148	 0.937	   4647	 0.866
166	1160305	 0.881	   9842	   9855	-34.0683	20.4047	    10200	 -34.068	20.405	 -34.04	20.37	12	11	 0.129	 0.985	   9987	 0.872	12	 0.124	 0.965	  10200	 0.881
171	1160320	 0.870	   6895	   6850	-32.5028	19.5350	     6699	 -32.503	19.535	 -32.54	19.54	12	21	 0.142	 0.993	   6844	 0.859	12	 0.133	 0.972	   6699	 0.870
180	1160341	 0.689	   1201	   1207	-33.8708	20.0022	     1284	 -33.871	20.002	 -33.87	20.04	12	17	 0.349	 0.951	   1142	 0.654	12	 0.318	 0.935	   1284	 0.689
186	1160350	 0.797	   2900	   2895	-33.5728	20.7019	     2937	 -33.573	20.619	 -33.54	20.62	11	10	 0.219	 0.988	   2865	 0.782	12	 0.205	 0.964	   3008	 0.798
188	1160352	 0.845	   5837	   5856	-33.6939	21.1431	     6081	 -33.694	21.143	 -33.71	21.12	12	12	 0.161	 0.960	   6081	 0.845	12	 0.161	 0.960	   6081	 0.845
189	1160353	 0.897	  12493	  12470	-33.7492	21.4444	    12470	 -33.833	21.361	 -33.79	21.37	6	6	 0.103	 0.998	  12470	 0.897	6	 0.103	 0.998	  12470	 0.897
195	1160373	 0.940	  43451	  43444	-33.9803	21.6533	    43388	 -33.980	21.653	 -33.96	21.62	12	12	 0.060	 0.999	  43388	 0.940	12	 0.060	 0.999	  43388	 0.940
197	1160376	 0.654	   7805	  17386	-33.4966	21.6258	    12065	 -33.330	21.709	 -33.29	21.71	23	4	 1.042	 0.686	  11384	 0.006	17	 0.550	 0.456	  17106	 0.916
198	1160378	 0.917	  17076	  17063	-33.3100	21.6350	    16891	 -33.310	21.635	 -33.29	21.62	12	7	 0.092	 0.998	  17106	 0.908	12	 0.084	 0.989	  16891	 0.917
199	1160380	 0.849	   4230	   4291	-33.4778	23.0294	     4449	 -33.478	23.029	 -33.46	23.04	12	13	 0.165	 0.966	   4378	 0.838	12	 0.159	 0.951	   4449	 0.849
202	1160391	 0.904	  10927	  10989	-33.6600	21.7731	    11384	 -33.660	21.773	 -33.62	21.79	12	14	 0.123	 0.996	  10884	 0.877	12	 0.105	 0.960	  11384	 0.904
222	1160453	 0.698	   1627	   1632	-33.7919	24.0311	     1571	 -33.792	23.948	 -33.79	23.96	11	11	 0.304	 0.965	   1571	 0.698	11	 0.304	 0.965	   1571	 0.698
227	1160460	 0.927	  29571	  29461	-33.7308	24.6178	    29582	 -33.647	24.618	 -33.62	24.62	17	17	 0.073	 1.000	  29582	 0.927	17	 0.073	 1.000	  29582	 0.927
228	1160470	 0.724	   1296	   1290	-33.2036	24.2350	     1296	 -33.120	24.318	 -33.12	24.29	18	18	 0.276	 1.000	   1296	 0.724	18	 0.276	 1.000	   1296	 0.724
229	1160480	 0.858	   3943	   3941	-32.2386	23.0514	     4008	 -32.239	23.051	 -32.21	23.04	12	17	 0.147	 0.998	   3935	 0.853	12	 0.143	 0.984	   4008	 0.858
