no	GRDC2022	lehner_id
1	1104150	1104150
2	1104200	1104200
3	1104300	1104300
4	1104450	1104450
5	1104480	1104480
6	1104500	1104500
7	1104530	1104530
8	1104600	1104600
9	1104700	1104700
10	1104800	1104800
11	1107700	1107700
12	1107800	1107800
13	1112100	1112100
14	1112200	1112200
15	1112300	1112300
16	1112320	1112320
17	1112340	1112340
18	1112350	1112350
19	1112400	1112400
20	1112480	1112480
21	1112500	1112500
22	1134020	1134020
23	1134030	1134030
24	1134040	1134040
25	1134050	1134050
26	1134060	1134060
27	1134080	1134080
28	1134100	1134100
29	1134110	1134110
30	1134150	1134150
31	1134200	1134200
32	1134220	1134220
33	1134250	1134250
34	1134300	1134300
35	1134310	1134310
36	1134320	1134320
37	1134350	1134350
38	1134400	1134400
39	1134450	1134450
40	1134460	1134460
41	1134480	1134480
42	1134500	1134500
43	1134505	1134505
44	1134600	1134600
45	1134620	1134620
46	1134630	1134630
47	1134650	1134650
48	1134700	1134700
49	1134705	1134705
50	1134730	1134730
51	1134850	1134850
52	1134900	1134900
53	1147010	1147010
54	1147011	1147011
55	1147012	1147012
56	1147013	1147013
57	1150200	1147200
58	1150201	1147201
59	1159100	1159100
60	1159300	1159300
61	1159500	1159500
62	1159600	1159600
63	1159601	1159601
64	1159650	1159650
65	1159800	1159800
66	1159900	1159900
67	1160200	1160200
68	1160220	1160220
69	1160300	1160300
70	1160301	1160301
71	1160320	1160320
72	1160350	1160350
73	1160400	1160400
74	1160450	1160450
75	1160500	1160500
76	1160510	1160510
77	1160550	1160550
78	1160580	1160580
79	1160600	1160600
80	1160650	1160650
81	1160680	1160680
82	1160700	1160700
83	1160710	1160710
84	1160720	1160720
85	1160750	1160750
86	1160800	1160800
87	1160850	1160850
88	1160880	1160880
89	1196300	1196300
90	1196350	1196350
91	1196400	1196400
92	1196500	1196500
93	1196550	1196550
94	1196551	1196551
95	1196600	1196600
96	1196700	1196700
97	1197300	1197300
98	1199100	1199100
99	1201150	1201150
100	1201500	1201500
101	1204900	1204900
102	1216300	1216300
103	1216350	1216350
104	1216400	1216400
105	1216430	1216430
106	1216450	1216450
107	1216500	1216500
108	1219500	1219500
109	1234050	1234050
110	1234080	1234080
111	1234090	1234090
112	1234100	1234100
113	1234120	1234120
114	1234130	1234130
115	1234150	1234150
116	1234180	1234180
117	1234190	1234190
118	1234200	1234200
119	1234201	1234201
120	1234250	1234250
121	1234500	1234500
122	1234550	1234550
123	1234650	1234650
124	1234680	1234680
125	1234700	1234700
126	1237500	1237500
127	1253100	1253100
128	1255100	1255100
129	1257100	1257100
130	1258100	1258100
131	1258200	1258200
132	1258300	1258300
133	1258350	1258350
134	1258400	1258400
135	1258500	1258500
136	1258501	1258501
137	1258510	1258510
138	1259100	1259100
139	1259101	1259101
140	1259110	1259110
141	1259150	1259150
142	1259200	1259200
143	1259220	1259220
144	1259250	1259250
145	1259300	1259300
146	1259350	1259350
147	1259400	1259400
148	1259440	1259440
149	1259450	1259450
150	1259500	1259500
151	1259800	1259800
152	1261100	1261100
153	1261200	1261200
154	1269200	1269200
155	1269400	1269400
156	1269600	1269600
157	1270800	1270800
158	1270900	1270900
159	1271500	1271500
160	1286150	1286150
161	1286200	1286200
162	1286600	1286600
163	1286650	1286650
164	1286660	1286660
165	1286700	1286700
166	1286900	1286900
167	1286901	1286901
168	1287800	1287800
169	1289050	1289050
170	1289200	1289200
171	1289400	1289400
172	1289450	1289450
173	1291100	1291100
174	1291200	1291200
175	1293200	1292200
176	1304100	1304100
177	1304800	1304800
178	1308100	1308100
179	1308110	1308110
180	1308600	1308600
181	1309200	1309200
182	1309500	1309500
183	1309520	1309520
184	1309550	1309550
185	1309570	1309570
186	1309600	1309600
187	1309620	1309620
188	1309650	1309650
189	1309660	1309660
190	1309675	1309675
191	1309700	1309700
192	1309720	1309720
193	1309750	1309750
194	1309800	1309800
195	1309810	1309810
196	1309850	1309850
197	1310400	1310400
198	1310500	1310500
199	1310600	1310600
200	1316100	1316100
201	1321800	1321800
202	1322800	1322800
203	1323400	1323400
204	1323500	1323500
205	1324500	1324500
206	1326300	1326300
207	1326301	1326301
208	1326500	1326500
209	1326701	1326701
210	1326802	1326802
211	1326901	1326901
212	1335011	1335011
213	1335014	1335014
214	1335122	1335122
215	1335181	1335181
216	1335241	1335241
217	1335381	1335381
218	1335451	1335451
219	1335500	1335500
220	1336500	1336500
221	1337100	1337100
222	1337101	1337101
223	1337151	1337151
224	1337200	1337200
225	1337251	1337251
226	1338050	1338050
227	1338200	1338200
228	1338201	1338201
229	1338252	1338252
230	1338271	1338271
231	1338300	1338300
232	1338400	1338400
233	1338503	1338503
234	1338600	1338600
235	1339011	1339011
236	1339012	1339012
237	1339014	1339014
238	1339015	1339015
239	1339017	1339017
240	1339100	1339100
241	1339500	1339500
242	1340500	1340500
243	1348100	1348100
244	1348151	1348151
245	1348152	1348152
246	1348401	1348401
247	1357100	1357100
248	1362100	1362100
249	1362200	1362200
250	1362300	1362300
251	1362400	1362400
252	1362500	1362500
253	1362600	1362600
254	1389090	1389090
255	1389100	1389100
256	1389200	1389200
257	1389230	1389230
258	1389300	1389300
259	1389320	1389320
260	1389330	1389330
261	1389350	1389350
262	1389430	1389430
263	1389450	1389450
264	1389460	1389460
265	1389470	1389470
266	1389480	1389480
267	1389490	1389490
268	1389500	1389500
269	1389520	1389520
270	1389530	1389530
271	1389540	1389540
272	1389550	1389550
273	1389580	1389580
274	1389600	1389600
275	1389670	1389670
276	1389680	1389680
277	1389690	1389690
278	1389700	1389700
279	1389710	1389710
280	1389720	1389720
281	1389750	1389750
282	1389760	1389760
283	1389780	1389780
284	1389790	1389790
285	1389800	1389800
286	1389820	1389820
287	1425100	1425100
288	1425300	1425300
289	1425350	1425350
290	1425450	1425450
291	1425500	1425500
292	1426010	1426010
293	1426050	1426050
294	1426100	1426100
295	1426120	1426120
296	1426140	1426140
297	1426180	1426180
298	1426200	1426200
299	1426210	1426210
300	1426250	1426250
301	1426260	1426260
302	1426300	1426300
303	1426320	1426320
304	1426340	1426340
305	1426350	1426350
306	1426380	1426380
307	1426600	1426600
308	1427100	1427100
309	1427130	1427130
310	1427150	1427150
311	1427160	1427160
312	1427200	1427200
313	1427250	1427250
314	1427350	1427350
315	1427370	1427370
316	1427400	1427400
317	1427450	1427450
318	1427500	1427500
319	1427600	1427600
320	1428100	1428100
321	1428200	1428200
322	1428250	1428250
323	1428300	1428300
324	1428400	1428400
